衆院,,18歳,19歳,10歳代,20歳,"21～
24歳","25～
29歳",20歳代,"30～
34歳","35～
39歳",30歳代,"40～
44歳","45～
49歳",40歳代,"50～
54歳","55～
59歳",50歳代,"60～
64歳","65～
69歳",60歳代,"70代
以上","70～
74歳","75～
79歳",70歳代,"80歳
以上",※全体
,,,,,,,,,,,,,,,,,,,,,,,,,,
R3.10,今回,53.86,45.46,49.49,41.73,36.68,39.59,38.66,46.7,51.33,49.11,55.9,59.05,57.58,61.73,65.31,63.32,68.52,71.76,70.08,,72.73,71.08,72.03,51.89,57.21
H29.10,前回,48.97,38.64,43.59,33.97,30.88,33.2,32.39,40,46.55,43.38,51.24,54.92,53.08,59.62,63.3,61.26,67.22,70.4,68.99,61.59,71.85,69.5,70.75,48.69,53.64
H26.12,前々回,,,,42.17,32.98,34.85,34.73,41.34,47.7,44.67,51.12,55.19,53.01,58.21,63.03,60.45,67.08,70.69,68.86,63.57,71.39,69.38,70.49,52.27,54.36
