開票区名,計,（１）中山なりあき,（２）西村真悟,（３）ボギーてどこん,（４）やすえくにお,（５）矢作直樹
★都計,17219.085,8273.000,4331.085,1774.000,1430.000,1411.000
☆区部計,12670.577,6040.000,3292.577,1229.000,1062.000,1047.000
千代田区,134.000,62.000,44.000,6.000,12.000,10.000
中央区,268.000,113.000,82.000,20.000,19.000,34.000
港区,440.000,231.000,124.000,16.000,31.000,38.000
新宿区,568.795,308.000,136.795,33.000,42.000,49.000
文京区,456.000,194.000,129.000,30.000,37.000,66.000
台東区,296.000,143.000,82.000,29.000,16.000,26.000
墨田区,322.000,157.000,81.000,41.000,23.000,20.000
江東区,640.003,325.000,137.003,69.000,60.000,49.000
品川区,489.934,216.000,136.934,53.000,38.000,46.000
目黒区,349.436,167.000,89.436,20.000,43.000,30.000
大田区,985.000,429.000,321.000,95.000,85.000,55.000
世田谷区,1491.847,710.000,368.847,135.000,134.000,144.000
渋谷区,350.000,159.000,99.000,23.000,33.000,36.000
中野区,462.700,216.000,126.700,49.000,35.000,36.000
杉並区,870.000,436.000,200.000,79.000,91.000,64.000
豊島区,395.462,189.000,105.462,36.000,28.000,37.000
北区,443.000,201.000,125.000,47.000,38.000,32.000
荒川区,246.558,120.000,72.558,20.000,16.000,18.000
板橋区,717.000,340.000,189.000,104.000,41.000,43.000
練馬区,937.416,458.000,224.416,94.000,88.000,73.000
足立区,659.000,330.000,162.000,73.000,61.000,33.000
葛飾区,438.467,217.000,102.467,50.000,30.000,39.000
江戸川区,709.959,319.000,153.959,107.000,61.000,69.000
☆市部計,4503.508,2210.000,1031.508,534.000,364.000,364.000
八王子市,523.932,253.000,110.932,69.000,59.000,32.000
立川市,169.439,84.000,40.439,22.000,6.000,17.000
武蔵野市,225.000,119.000,42.000,22.000,21.000,21.000
三鷹市,232.438,119.000,53.438,22.000,24.000,14.000
青梅市,135.000,47.000,27.000,29.000,19.000,13.000
府中市,267.000,131.000,49.000,35.000,23.000,29.000
昭島市,97.000,45.000,28.000,7.000,10.000,7.000
調布市,298.000,148.000,86.000,26.000,12.000,26.000
町田市,518.818,269.000,104.818,66.000,37.000,42.000
小金井市,149.463,79.000,38.463,11.000,14.000,7.000
小平市,203.000,111.000,54.000,17.000,12.000,9.000
日野市,226.000,105.000,50.000,34.000,17.000,20.000
東村山市,161.000,69.000,41.000,23.000,17.000,11.000
国分寺市,144.000,70.000,38.000,12.000,8.000,16.000
国立市,98.000,44.000,18.000,16.000,7.000,13.000
福生市,56.000,22.000,10.000,7.000,9.000,8.000
狛江市,90.482,39.000,28.482,11.000,6.000,6.000
東大和市,79.000,44.000,23.000,8.000,3.000,1.000
清瀬市,56.000,21.000,17.000,11.000,5.000,2.000
東久留米市,146.387,75.000,31.387,20.000,9.000,11.000
武蔵村山市,48.000,22.000,10.000,8.000,3.000,5.000
多摩市,178.000,88.000,35.000,19.000,13.000,23.000
稲城市,85.549,36.000,28.549,10.000,6.000,5.000
羽村市,54.000,23.000,14.000,10.000,7.000,0.000
あきる野市,48.000,23.000,15.000,2.000,3.000,5.000
西東京市,214.000,124.000,38.000,17.000,14.000,21.000
☆西多摩郡計,29.000,16.000,4.000,6.000,3.000,0.000
瑞穂町,11.000,8.000,1.000,2.000,0.000,0.000
日の出町,15.000,7.000,3.000,4.000,1.000,0.000
檜原村,2.000,1.000,0.000,0.000,1.000,0.000
奥多摩町,1.000,0.000,0.000,0.000,1.000,0.000
☆島部計,16.000,7.000,3.000,5.000,1.000,0.000
大島支庁小計,8.000,3.000,2.000,2.000,1.000,0.000
大島町,6.000,1.000,2.000,2.000,1.000,0.000
利島村,0.000,0.000,0.000,0.000,0.000,0.000
新島村,2.000,2.000,0.000,0.000,0.000,0.000
神津島村,0.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,1.000,0.000,0.000,1.000,0.000,0.000
三宅村,0.000,0.000,0.000,0.000,0.000,0.000
御蔵島村,1.000,0.000,0.000,1.000,0.000,0.000
八丈支庁小計,6.000,4.000,1.000,1.000,0.000,0.000
八丈町,6.000,4.000,1.000,1.000,0.000,0.000
青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,1.000,0.000,0.000,1.000,0.000,0.000
小笠原村,1.000,0.000,0.000,1.000,0.000,0.000
