開票区名,得票総数,按分の際切捨てた票数,いずれの候補者にも属さない票数,有効投票数,無効投票数,投票総数,持ち帰りと思われる票数,不受理と決定した票数,投票者数,無効投票率
★都計,5763396.000,0.000,0,5763396,133682,5897078,797,4,5897879,2.27
☆区部計,3906497.000,0.000,0,3906497,93075,3999572,648,3,4000223,2.33
千代田区,26915.000,0.000,0,26915,506,27421,0,0,27421,1.85
中央区,61489.000,0.000,0,61489,1228,62717,4,0,62721,1.96
港区,96005.000,0.000,0,96005,1641,97646,1,0,97647,1.68
新宿区,133049.000,0.000,0,133049,2740,135789,107,2,135898,2.02
文京区,101503.000,0.000,0,101503,2191,103694,13,0,103707,2.11
台東区,83153.000,0.000,0,83153,2375,85528,16,0,85544,2.78
墨田区,110113.000,0.000,0,110113,2946,113059,1,0,113060,2.61
江東区,215686.000,0.000,0,215686,5824,221510,9,0,221519,2.63
品川区,163859.000,0.000,0,163859,3392,167251,16,0,167267,2.03
目黒区,120405.000,0.000,0,120405,3128,123533,18,0,123551,2.53
大田区計,307084.000,0.000,0,307084,7129,314213,294,0,314507,2.27
大田３区,86425.000,0.000,0,86425,1926,88351,4,0,88355,2.18
大田４区,220659.000,0.000,0,220659,5203,225862,290,0,226152,2.30
世田谷区計,395074.000,0.000,0,395074,8675,403749,14,1,403764,2.15
世田谷５区,139256.000,0.000,0,139256,3340,142596,5,0,142601,2.34
世田谷６区,255818.000,0.000,0,255818,5335,261153,9,1,261163,2.04
渋谷区,94786.000,0.000,0,94786,2023,96809,4,0,96813,2.09
中野区,140412.000,0.000,0,140412,2888,143300,5,0,143305,2.02
杉並区,248226.000,0.000,0,248226,5679,253905,0,0,253905,2.24
豊島区,115902.000,0.000,0,115902,2661,118563,24,0,118587,2.24
北区,157889.000,0.000,0,157889,4405,162294,4,0,162298,2.71
荒川区,85544.000,0.000,0,85544,2063,87607,10,0,87617,2.35
板橋区,233097.000,0.000,0,233097,5935,239032,8,0,239040,2.48
練馬区計,312229.000,0.000,0,312229,7256,319485,17,0,319502,2.27
練馬９区,242072.000,0.000,0,242072,5623,247695,9,0,247704,2.27
練馬１０区,70157.000,0.000,0,70157,1633,71790,8,0,71798,2.27
足立区計,264765.000,0.000,0,264765,6806,271571,31,0,271602,2.51
足立１２区,59102.000,0.000,0,59102,1678,60780,5,0,60785,2.76
足立１３区,205663.000,0.000,0,205663,5128,210791,26,0,210817,2.43
葛飾区,182677.000,0.000,0,182677,5067,187744,14,0,187758,2.70
江戸川区計,256635.000,0.000,0,256635,6517,263152,38,0,263190,2.48
江戸川１６区,217665.000,0.000,0,217665,5517,223182,36,0,223218,2.47
江戸川１７区,38970.000,0.000,0,38970,1000,39970,2,0,39972,2.50
☆市部計,1818915.000,0.000,0,1818915,39139,1858054,149,1,1858204,2.11
八王子市,247453.000,0.000,0,247453,5104,252557,41,0,252598,2.02
立川市,75826.000,0.000,0,75826,1623,77449,5,0,77454,2.10
武蔵野市,69403.000,0.000,0,69403,1530,70933,4,0,70937,2.16
三鷹市,82637.000,0.000,0,82637,1788,84425,7,0,84432,2.12
青梅市,57598.000,0.000,0,57598,1906,59504,4,0,59508,3.20
