令和元年7月21日  執行,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,
東京都選挙管理委員会,,,,,
労働の解放をめざす労働者党,,,,,
令和元年 7月22日 13時 25分 確定,,,,,
開  票  区  名,計,1,2,3,4
,,伊藤,林,菊池,吉村
,,恵子,ひろよし,里志,ふみお
　★都計,1663.117,-,1269.000,145.117,249.000
　☆区部計,1105.117,-,843.000,96.117,166.000
　　千代田区,4.000,-,4.000,0.000,0.000
　　中央区,7.000,-,7.000,0.000,0.000
　　港区,23.000,-,19.000,1.000,3.000
　　新宿区,30.000,-,20.000,4.000,6.000
　　文京区,19.000,-,15.000,1.000,3.000
　　台東区,36.000,-,29.000,1.000,6.000
　　墨田区,23.000,-,22.000,0.000,1.000
　　江東区,96.000,-,81.000,4.000,11.000
　　品川区,37.000,-,27.000,2.000,8.000
　　目黒区,20.019,-,15.000,2.019,3.000
　　大田区,106.000,-,87.000,6.000,13.000
　　世田谷区,115.000,-,88.000,13.000,14.000
　　渋谷区,14.000,-,12.000,1.000,1.000
　　中野区,28.000,-,21.000,4.000,3.000
　　杉並区,46.000,-,30.000,9.000,7.000
　　豊島区,24.000,-,16.000,3.000,5.000
　　北区,36.000,-,22.000,6.000,8.000
　　荒川区,29.000,-,23.000,1.000,5.000
　　板橋区,54.000,-,36.000,6.000,12.000
　　練馬区,90.047,-,67.000,13.047,10.000
　　足立区,78.000,-,60.000,7.000,11.000
　　葛飾区,63.051,-,46.000,6.051,11.000
　　江戸川区,127.000,-,96.000,6.000,25.000
　☆市部計,543.000,-,412.000,48.000,83.000
　　八王子市,93.000,-,70.000,6.000,17.000
　　立川市,17.000,-,11.000,1.000,5.000
　　武蔵野市,12.000,-,8.000,1.000,3.000
　　三鷹市,24.000,-,18.000,4.000,2.000
　　青梅市,27.000,-,21.000,2.000,4.000
　　府中市,26.000,-,15.000,5.000,6.000
　　昭島市,17.000,-,13.000,4.000,0.000
　　調布市,28.000,-,24.000,2.000,2.000
　　町田市,80.000,-,62.000,4.000,14.000
　　小金井市,8.000,-,6.000,1.000,1.000
　　小平市,18.000,-,16.000,0.000,2.000
　　日野市,28.000,-,20.000,3.000,5.000
　　東村山市,13.000,-,8.000,2.000,3.000
　　国分寺市,14.000,-,12.000,0.000,2.000
　　国立市,7.000,-,7.000,0.000,0.000
　　福生市,9.000,-,6.000,1.000,2.000
　　狛江市,6.000,-,5.000,0.000,1.000
　　東大和市,12.000,-,12.000,0.000,0.000
　　清瀬市,8.000,-,5.000,1.000,2.000
　　東久留米市,21.000,-,15.000,3.000,3.000
　　武蔵村山市,8.000,-,7.000,0.000,1.000
　　多摩市,20.000,-,16.000,2.000,2.000
　　稲城市,12.000,-,8.000,3.000,1.000
　　羽村市,10.000,-,9.000,0.000,1.000
　　あきる野市,9.000,-,6.000,0.000,3.000
　　西東京市,16.000,-,12.000,3.000,1.000
　☆西多摩郡計,10.000,-,9.000,1.000,0.000
　　瑞穂町,7.000,-,6.000,1.000,0.000
　　日の出町,3.000,-,3.000,0.000,0.000
　　檜原村,0.000,-,0.000,0.000,0.000
　　奥多摩町,0.000,-,0.000,0.000,0.000
　☆島部計,5.000,-,5.000,0.000,0.000
　　大島支庁小計,2.000,-,2.000,0.000,0.000
　　　大島町,1.000,-,1.000,0.000,0.000
　　　利島村,0.000,-,0.000,0.000,0.000
　　　新島村,0.000,-,0.000,0.000,0.000
　　　神津島村,1.000,-,1.000,0.000,0.000
　　三宅支庁小計,1.000,-,1.000,0.000,0.000
　　　三宅村,1.000,-,1.000,0.000,0.000
　　　御蔵島村,0.000,-,0.000,0.000,0.000
　　八丈支庁小計,0.000,-,0.000,0.000,0.000
　　　八丈町,0.000,-,0.000,0.000,0.000
　　　青ヶ島村,0.000,-,0.000,0.000,0.000
　　小笠原支庁小計,2.000,-,2.000,0.000,0.000
　　　小笠原村,2.000,-,2.000,0.000,0.000
