開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
★都計,5431190,5652116,11083306,3160220,3460187,6620407,2270970,2191929,4462899,58.19,61.22,59.73,-,46.46,45.83,46.14
☆区部計,3716074,3882061,7598135,2143433,2365510,4508943,1572641,1516551,3089192,57.68,60.93,59.34,-,46.67,46.29,46.48
千代田区,23584,24042,47626,14838,15954,30792,8746,8088,16834,62.92,66.36,64.65,9,53.75,53.04,53.39
中央区,55578,62962,118540,34460,40783,75243,21118,22179,43297,62.00,64.77,63.47,18,51.92,51.10,51.48
港区,88467,104509,192976,49841,60897,110738,38626,43612,82238,56.34,58.27,57.38,55,47.91,46.13,46.95
新宿区,131107,132338,263445,72568,79805,152373,58539,52533,111072,55.35,60.30,57.84,54,47.08,48.16,47.62
文京区,82231,92564,174795,53242,61903,115145,28989,30661,59650,64.75,66.88,65.87,8,56.30,54.99,55.61
台東区,80771,76510,157281,47495,48555,96050,33276,27955,61231,58.80,63.46,61.07,34,47.17,47.93,47.54
墨田区,108954,109560,218514,62995,66632,129627,45959,42928,88887,57.82,60.82,59.32,44,45.29,44.76,45.03
江東区,199143,204606,403749,119690,129429,249119,79453,75177,154630,60.10,63.26,61.70,26,48.12,47.76,47.94
品川区,154905,163005,317910,90507,100400,190907,64398,62605,127003,58.43,61.59,60.05,40,47.86,47.43,47.64
目黒区,106369,122633,229002,62352,74692,137044,44017,47941,91958,58.62,60.91,59.84,41,49.64,47.80,48.65
大田区,296901,299322,596223,167939,178704,346643,128962,120618,249580,56.56,59.70,58.14,49,46.33,46.27,46.30
世田谷区,346980,395289,742269,209665,245932,455597,137315,149357,286672,60.43,62.22,61.38,31,50.39,48.77,49.53
渋谷区,87977,98297,186274,49501,58328,107829,38476,39969,78445,56.27,59.34,57.89,53,47.85,47.37,47.60
中野区,137843,136435,274278,76986,82481,159467,60857,53954,114811,55.85,60.45,58.14,49,46.33,47.07,46.70
杉並区,224171,248066,472237,133432,154012,287444,90739,94054,184793,59.52,62.09,60.87,35,49.78,49.16,49.46
豊島区,114190,112997,227187,65257,70534,135791,48933,42463,91396,57.15,62.42,59.77,42,45.67,46.14,45.91
北区,139911,143090,283001,83798,90495,174293,56113,52595,108708,59.89,63.24,61.59,30,49.09,49.20,49.14
荒川区,82525,83529,166054,47917,51204,99121,34608,32325,66933,58.06,61.30,59.69,43,45.68,45.31,45.50
板橋区,225205,232490,457695,128613,140406,269019,96592,92084,188676,57.11,60.39,58.78,46,45.69,45.69,45.69
練馬区,289083,307164,596247,173005,191520,364525,116078,115644,231722,59.85,62.35,61.14,33,48.46,47.42,47.93
足立区,277700,275900,553600,148582,158204,306786,129118,117696,246814,53.50,57.34,55.42,59,41.28,41.09,41.19
葛飾区,185287,186041,371328,102842,109252,212094,82445,76789,159234,55.50,58.72,57.12,57,41.18,40.51,40.84
江戸川区,277192,270712,547904,147908,155388,303296,129284,115324,244608,53.36,57.40,55.36,60,39.78,38.91,39.35
☆市部計,1679374,1734714,3414088,995338,1072762,2068100,684036,661952,1345988,59.27,61.84,60.58,-,45.98,44.80,45.38
八王子市,232482,233498,465980,131788,139092,270880,100694,94406,195100,56.69,59.57,58.13,51,41.86,40.45,41.15
立川市,74129,75208,149337,42059,44455,86514,32070,30753,62823,56.74,59.11,57.93,52,43.06,41.35,42.20
武蔵野市,56434,63058,119492,35879,41261,77140,20555,21797,42352,63.58,65.43,64.56,10,51.63,49.77,50.65
三鷹市,74125,78642,152767,45306,49741,95047,28819,28901,57720,61.12,63.25,62.22,22,49.39,48.30,48.83
青梅市,57474,57321,114795,33102,33991,67093,24372,23330,47702,57.59,59.30,58.45,47,39.74,37.41,38.57
府中市,105968,104271,210239,61837,64627,126464,44131,39644,83775,58.35,61.98,60.15,39,47.71,47.48,47.60
昭島市,46340,46765,93105,26439,27728,54167,19901,19037,38938,57.05,59.29,58.18,48,42.45,41.01,41.73
調布市,91903,96838,188741,55337,60926,116263,36566,35912,72478,60.21,62.92,61.60,29,49.50,48.67,49.07
町田市,170856,180432,351288,101724,111432,213156,69132,69000,138132,59.54,61.76,60.68,37,46.70,45.03,45.84
小金井市,48412,50224,98636,29425,31932,61357,18987,18292,37279,60.78,63.58,62.21,23,49.24,48.35,48.79
小平市,75373,78835,154208,45550,49613,95163,29823,29222,59045,60.43,62.93,61.71,25,46.13,45.21,45.66
日野市,75615,75253,150868,45363,47148,92511,30252,28105,58357,59.99,62.65,61.32,32,47.38,46.33,46.86
東村山市,60871,64432,125303,36244,39931,76175,24627,24501,49128,59.54,61.97,60.79,36,45.79,44.28,45.02
国分寺市,49188,51170,100358,30715,33174,63889,18473,17996,36469,62.44,64.83,63.66,15,50.94,49.60,50.26
国立市,30396,32304,62700,19212,20870,40082,11184,11434,22618,63.21,64.61,63.93,14,50.66,49.42,50.03
福生市,23894,23804,47698,13282,13758,27040,10612,10046,20658,55.59,57.80,56.69,58,41.12,38.14,39.64
狛江市,32599,35173,67772,20018,22423,42441,12581,12750,25331,61.41,63.75,62.62,21,51.31,50.51,50.90
東大和市,34833,35885,70718,20592,22064,42656,14241,13821,28062,59.12,61.49,60.32,38,43.96,42.92,43.43
清瀬市,29452,32101,61553,17856,20093,37949,11596,12008,23604,60.63,62.59,61.65,27,48.34,47.50,47.90
東久留米市,47157,49952,97109,28286,31560,59846,18871,18392,37263,59.98,63.18,61.63,28,45.85,45.14,45.49
武蔵村山市,29085,29018,58103,15166,16210,31376,13919,12808,26727,52.14,55.86,54.00,62,36.76,36.62,36.69
多摩市,60631,63716,124347,37522,41097,78619,23109,22619,45728,61.89,64.50,63.23,19,48.93,48.15,48.54
稲城市,35467,35140,70607,21837,22484,44321,13630,12656,26286,61.57,63.98,62.77,20,48.19,47.77,47.98
羽村市,23445,22632,46077,13050,13348,26398,10395,9284,19679,55.66,58.98,57.29,56,39.76,37.90,38.85
あきる野市,33435,33861,67296,19372,20261,39633,14063,13600,27663,57.94,59.84,58.89,45,40.93,39.28,40.10
西東京市,79810,85181,164991,48377,53543,101920,31433,31638,63071,60.62,62.86,61.77,24,47.63,46.32,46.96
☆西多摩郡計,24487,24491,48978,14053,14588,28641,10434,9903,20337,57.39,59.56,58.48,-,40.41,38.99,39.70
瑞穂町,14174,13724,27898,7434,7707,15141,6740,6017,12757,52.45,56.16,54.27,61,35.86,35.34,35.61
日の出町,6872,7234,14106,4345,4628,8973,2527,2606,5133,63.23,63.98,63.61,16,45.99,42.91,44.42
檜原村,1055,1056,2111,728,686,1414,327,370,697,69.00,64.96,66.98,7,51.42,48.00,49.70
奥多摩町,2386,2477,4863,1546,1567,3113,840,910,1750,64.79,63.26,64.01,13,45.56,43.23,44.38
☆島部計,11255,10850,22105,7396,7327,14723,3859,3523,7382,65.71,67.53,66.60,-,60.27,61.47,60.86
