開票区名,計,（１）佐野秀光,（２）本藤昭子
★都計,5025.623,2944.000,2081.623
☆区部計,3555.623,2076.000,1479.623
千代田区,12.000,7.000,5.000
中央区,45.000,29.000,16.000
港区,74.000,42.000,32.000
新宿区,82.000,52.000,30.000
文京区,88.000,52.000,36.000
台東区,62.000,33.000,29.000
墨田区,81.000,55.000,26.000
江東区,238.000,126.000,112.000
品川区,95.000,57.000,38.000
目黒区,83.000,47.000,36.000
大田区,322.809,203.000,119.809
世田谷区,490.000,265.000,225.000
渋谷区,77.000,52.000,25.000
中野区,114.000,62.000,52.000
杉並区,176.000,98.000,78.000
豊島区,101.000,57.000,44.000
北区,163.000,96.000,67.000
荒川区,48.000,35.000,13.000
板橋区,197.000,114.000,83.000
練馬区,344.000,198.000,146.000
足立区,180.814,92.000,88.814
葛飾区,145.000,88.000,57.000
江戸川区,337.000,216.000,121.000
☆市部計,1459.000,862.000,597.000
八王子市,193.000,113.000,80.000
立川市,81.000,45.000,36.000
武蔵野市,48.000,26.000,22.000
三鷹市,90.000,48.000,42.000
青梅市,57.000,36.000,21.000
府中市,79.000,52.000,27.000
昭島市,37.000,24.000,13.000
調布市,81.000,43.000,38.000
町田市,209.000,124.000,85.000
小金井市,47.000,28.000,19.000
小平市,50.000,27.000,23.000
日野市,61.000,35.000,26.000
東村山市,69.000,41.000,28.000
国分寺市,32.000,20.000,12.000
国立市,20.000,11.000,9.000
福生市,19.000,9.000,10.000
狛江市,24.000,18.000,6.000
東大和市,26.000,18.000,8.000
清瀬市,19.000,8.000,11.000
東久留米市,52.000,34.000,18.000
武蔵村山市,28.000,14.000,14.000
多摩市,29.000,21.000,8.000
稲城市,24.000,16.000,8.000
羽村市,7.000,5.000,2.000
あきる野市,17.000,13.000,4.000
西東京市,60.000,33.000,27.000
☆西多摩郡計,7.000,4.000,3.000
瑞穂町,4.000,3.000,1.000
日の出町,1.000,0.000,1.000
檜原村,0.000,0.000,0.000
奥多摩町,2.000,1.000,1.000
☆島部計,4.000,2.000,2.000
大島支庁小計,0.000,0.000,0.000
大島町,0.000,0.000,0.000
利島村,0.000,0.000,0.000
新島村,0.000,0.000,0.000
神津島村,0.000,0.000,0.000
三宅支庁小計,0.000,0.000,0.000
三宅村,0.000,0.000,0.000
御蔵島村,0.000,0.000,0.000
八丈支庁小計,1.000,1.000,0.000
八丈町,1.000,1.000,0.000
青ヶ島村,0.000,0.000,0.000
小笠原支庁小計,3.000,1.000,2.000
小笠原村,3.000,1.000,2.000
