番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,町田市（票）,多摩市（票）
1,＊,小倉　まさのぶ,自由民主党,104709,77983,26726
2,,くしぶち　万里,民主党,63706,46026,17680
3,＊,松村　りょうすけ,日本共産党,35166,24949,10217
4,＊,伊藤　しゅんすけ,維新の党,50836,37206,13630
合計,,,,254417,186164,68253
