番号,重複立候補者,候補者名,候補者届出政党,選挙区計（票）,墨田区（票）,荒川区（票）
1,＊,木村　たけつか,民主党,63377,35959,27418
2,＊,松島　みどり,自由民主党,87546,49955,37591
3,,あとう　和之,日本共産党,37089,19919,17170
合計,,,,188012,105833,82179
