令和3年10月31日  執行,,,,,,,,,,,,,,,,
衆議院（比例代表選出）議員選挙　投票結果（国内[sanitize]在外）,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,
20時　00分　現在　確定,,,,,,,,,,,,,,,,
開　票　区　名,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,選 挙 当 日 有 権 者 数,投  票  者  数,投  票  者  数,投  票  者  数,棄  権  者  数,棄  権  者  数,棄  権  者  数,投   票   率,投   票   率,投   票   率,投   票   率,前 回 投 票 率,投   票   率,投   票   率
,男,女,計,男,女,計,男,女,計,男,女,平均,順位,男,女,平均
　★都計,5603824,5883011,11486835,3189779,3380951,6570730,2414045,2502060,4916105,56.92,57.47,57.20,[sanitize],53.72,53.55,53.63
　☆区部計,3852310,4058752,7911062,2173207,2319312,4492519,1679103,1739440,3418543,56.41,57.14,56.79,[sanitize],53.08,53.00,53.04
　　千代田区,26992,27348,54340,16502,16766,33268,10490,10582,21072,61.14,61.31,61.22,15,60.72,59.91,60.31
　　中央区,65078,73473,138551,38336,42650,80986,26742,30823,57565,58.91,58.05,58.45,36,57.23,55.45,56.28
　　港区計,93475,110283,203758,51551,59194,110745,41924,51089,93013,55.15,53.67,54.35,[sanitize],53.40,51.26,52.24
　　港区１区,77413,93348,170761,43286,50640,93926,34127,42708,76835,55.92,54.25,55.00,63,54.15,51.83,52.88
　　港区２区,16062,16935,32997,8265,8554,16819,7797,8381,16178,51.46,50.51,50.97,77,49.62,48.01,48.79
　　新宿区計,137203,138292,275495,75305,78957,154262,61898,59335,121233,54.89,57.09,55.99,[sanitize],52.64,54.24,53.44
　　新宿区１区,118330,119178,237508,64920,68166,133086,53410,51012,104422,54.86,57.20,56.03,55,52.69,54.39,53.54
　　新宿区１０区,18873,19114,37987,10385,10791,21176,8488,8323,16811,55.03,56.46,55.75,57,52.35,53.27,52.81
　　文京区,86678,98124,184802,56654,63560,120214,30024,34564,64588,65.36,64.78,65.05,6,62.35,60.83,61.54
　　台東区計,86579,82821,169400,49080,48338,97418,37499,34483,71982,56.69,58.36,57.51,[sanitize],53.90,54.88,54.38
　　台東区２区,53208,53607,106815,31553,32118,63671,21655,21489,43144,59.30,59.91,59.61,27,56.86,56.61,56.73
　　台東区１４区,33371,29214,62585,17527,16220,33747,15844,12994,28838,52.52,55.52,53.92,69,49.33,51.74,50.44
　　墨田区,114549,117224,231773,64187,66643,130830,50362,50581,100943,56.03,56.85,56.45,52,52.09,51.71,51.90
　　江東区,207564,216561,424125,121412,127643,249055,86152,88918,175070,58.49,58.94,58.72,33,55.65,55.50,55.57
　　品川区計,164866,174130,338996,96138,102663,198801,68728,71467,140195,58.31,58.96,58.64,[sanitize],54.74,54.49,54.61
　　品川区３区,149017,156336,305353,87233,92583,179816,61784,63753,125537,58.54,59.22,58.89,31,54.77,54.63,54.70
　　品川区７区,15849,17794,33643,8905,10080,18985,6944,7714,14658,56.19,56.65,56.43,53,54.45,53.28,53.83
　　目黒区計,109606,126873,236479,64773,74019,138792,44833,52854,97687,59.10,58.34,58.69,[sanitize],55.47,53.53,54.43
　　目黒区５区,72650,85839,158489,43745,50506,94251,28905,35333,64238,60.21,58.84,59.47,28,56.19,53.53,54.76
　　目黒区７区,36956,41034,77990,21028,23513,44541,15928,17521,33449,56.90,57.30,57.11,47,54.04,53.53,53.77
　　大田区計,305491,312358,617849,170231,176121,346352,135260,136237,271497,55.72,56.38,56.06,[sanitize],52.39,52.10,52.24
　　大田区３区,67305,76515,143820,41824,46522,88346,25481,29993,55474,62.14,60.80,61.43,14,58.23,56.29,57.21
　　大田区４区,238186,235843,474029,128407,129599,258006,109779,106244,216023,53.91,54.95,54.43,66,50.72,50.74,50.73
　　世田谷区計,360206,413338,773544,218541,248219,466760,141665,165119,306784,60.67,60.05,60.34,[sanitize],56.30,54.55,55.37
　　世田谷区５区,141253,164952,306205,85929,98752,184681,55324,66200,121524,60.83,59.87,60.31,23,56.44,54.30,55.29
　　世田谷区６区,218953,248386,467339,132612,149467,282079,86341,98919,185260,60.57,60.18,60.36,22,56.21,54.72,55.42
　　渋谷区,91589,102286,193875,51152,57615,108767,40437,44671,85108,55.85,56.33,56.10,54,52.68,52.49,52.58
　　中野区計,142475,141282,283757,79329,81580,160909,63146,59702,122848,55.68,57.74,56.71,[sanitize],52.41,53.68,53.04
　　中野区７区,72059,70466,142525,40229,40730,80959,31830,29736,61566,55.83,57.80,56.80,49,52.24,53.50,52.86
　　中野区１０区,70416,70816,141232,39100,40850,79950,31316,29966,61282,55.53,57.68,56.61,51,52.59,53.85,53.22
　　杉並区計,231518,256212,487730,140426,156413,296839,91092,99799,190891,60.65,61.05,60.86,[sanitize],55.64,54.92,55.26
　　杉並区７区,5747,5795,11542,3016,3198,6214,2731,2597,5328,52.48,55.19,53.84,70,47.64,48.45,48.05
　　杉並区８区,225771,250417,476188,137410,153215,290625,88361,97202,185563,60.86,61.18,61.03,18,55.83,55.06,55.42
　　豊島区計,115988,116386,232374,63906,67027,130933,52082,49359,101441,55.10,57.59,56.35,[sanitize],51.05,52.76,51.90
　　豊島区１０区,79892,79225,159117,43331,45310,88641,36561,33915,70476,54.24,57.19,55.71,58,50.99,53.29,52.13
　　豊島区１２区,36096,37161,73257,20575,21717,42292,15521,15444,30965,57.00,58.44,57.73,42,51.20,51.64,51.42
　　北区,143012,146820,289832,84345,87975,172320,58667,58845,117512,58.98,59.92,59.46,29,54.21,54.73,54.47
　　荒川区,84895,86449,171344,47241,48766,96007,37654,37683,75337,55.65,56.41,56.03,55,52.17,51.98,52.08
　　板橋区計,230645,242979,473624,125732,134502,260234,104913,108477,213390,54.51,55.36,54.95,[sanitize],52.45,52.77,52.61
　　板橋区１１区,225292,237334,462626,122897,131405,254302,102395,105929,208324,54.55,55.37,54.97,64,52.52,52.80,52.66
　　板橋区１２区,5353,5645,10998,2835,3097,5932,2518,2548,5066,52.96,54.86,53.94,68,49.60,51.71,50.69
　　練馬区計,297555,321940,619495,171868,185285,357153,125687,136655,262342,57.76,57.55,57.65,[sanitize],54.74,54.19,54.45
　　練馬区９区,229468,249275,478743,132746,143532,276278,96722,105743,202465,57.85,57.58,57.71,43,54.94,54.45,54.69
　　練馬区１０区,68087,72665,140752,39122,41753,80875,28965,30912,59877,57.46,57.46,57.46,44,54.07,53.28,53.66
　　足立区計,284961,283931,568892,143194,146397,289591,141767,137534,279301,50.25,51.56,50.90,[sanitize],47.24,48.14,47.69
　　足立区１２区,44569,44076,88645,22245,23005,45250,22324,21071,43395,49.91,52.19,51.05,75,46.16,47.93,47.04
　　足立区１３区,240392,239855,480247,120949,123392,244341,119443,116463,235906,50.31,51.44,50.88,78,47.45,48.18,47.81
　　葛飾区,189746,191735,381481,100050,103173,203223,89696,88562,178258,52.73,53.81,53.27,71,50.20,50.33,50.27
　　江戸川区計,281639,277907,559546,143254,145806,289060,138385,132101,270486,50.86,52.47,51.66,[sanitize],47.50,48.02,47.76
　　江戸川区１６区,234072,231043,465115,118637,121165,239802,115435,109878,225313,50.68,52.44,51.56,73,47.16,47.80,47.48
　　江戸川区１７区,47567,46864,94431,24617,24641,49258,22950,22223,45173,51.75,52.58,52.16,72,49.15,49.11,49.13
　☆市部計,1717191,1790499,3507690,997059,1042371,2039430,720132,748128,1468260,58.06,58.22,58.14,[sanitize],55.10,54.73,54.91
　　八王子市計,235412,237684,473096,132507,135516,268023,102905,102168,205073,56.29,57.02,56.65,[sanitize],55.01,55.17,55.09
　　八王子市２１区,5281,4719,10000,2711,2440,5151,2570,2279,4849,51.33,51.71,51.51,74,49.64,49.74,49.69
　　八王子市２４区,230131,232965,463096,129796,133076,262872,100335,99889,200224,56.40,57.12,56.76,50,55.13,55.27,55.20
　　立川市,76432,78077,154509,42372,43323,85695,34060,34754,68814,55.44,55.49,55.46,59,51.87,51.36,51.61
　　武蔵野市,58934,66046,124980,36444,40350,76794,22490,25696,48186,61.84,61.09,61.45,13,58.42,57.18,57.77
　　三鷹市,77022,82339,159361,46563,49685,96248,30459,32654,63113,60.45,60.34,60.40,21,56.59,55.65,56.11
　　青梅市,56487,56084,112571,31151,30952,62103,25336,25132,50468,55.15,55.19,55.17,62,53.91,53.88,53.89
　　府中市,108119,107919,216038,62596,63575,126171,45523,44344,89867,57.90,58.91,58.40,38,54.25,54.81,54.53
　　昭島市,46947,47695,94642,25605,26235,51840,21342,21460,42802,54.54,55.01,54.77,65,51.18,50.32,50.75
　　調布市,96078,103172,199250,57326,61488,118814,38752,41684,80436,59.67,59.60,59.63,26,55.71,55.05,55.37
　　町田市,174651,185796,360447,101386,107380,208766,73265,78416,151681,58.05,57.79,57.92,41,55.52,54.88,55.19
　　小金井市,50705,53201,103906,30869,32438,63307,19836,20763,40599,60.88,60.97,60.93,19,56.36,55.99,56.17
　　小平市,78231,82729,160960,46579,49440,96019,31652,33289,64941,59.54,59.76,59.65,25,55.59,55.30,55.44
　　日野市,77881,78555,156436,45531,45631,91162,32350,32924,65274,58.46,58.09,58.27,39,54.90,54.03,54.47
　　東村山市,61388,65849,127237,35600,38240,73840,25788,27609,53397,57.99,58.07,58.03,40,55.05,54.75,54.89
　　国分寺市,52011,54668,106679,32409,34107,66516,19602,20561,40163,62.31,62.39,62.35,11,58.72,57.72,58.21
　　国立市,31066,33599,64665,19045,20327,39372,12021,13272,25293,61.30,60.50,60.89,20,58.67,57.17,57.90
　　福生市,23158,23201,46359,12648,12438,25086,10510,10763,21273,54.62,53.61,54.11,67,52.27,51.44,51.85
　　狛江市,33743,36735,70478,20654,22417,43071,13089,14318,27407,61.21,61.02,61.11,17,56.89,56.03,56.44
　　東大和市,34821,36439,71260,19716,20795,40511,15105,15644,30749,56.62,57.07,56.85,48,53.64,53.98,53.81
　　清瀬市,30122,32886,63008,17666,19151,36817,12456,13735,26191,58.65,58.23,58.43,37,55.85,55.19,55.50
　　東久留米市,47332,50833,98165,27069,29285,56354,20263,21548,41811,57.19,57.61,57.41,45,53.71,53.59,53.65
　　武蔵村山市,29153,29422,58575,14589,15299,29888,14564,14123,28687,50.04,52.00,51.03,76,47.98,49.47,48.73
　　多摩市計,60991,64495,125486,36379,38548,74927,24612,25947,50559,59.65,59.77,59.71,[sanitize],57.74,57.44,57.59
　　多摩市２１区,13212,13723,26935,7736,8064,15800,5476,5659,11135,58.55,58.76,58.66,34,56.57,56.08,56.32
　　多摩市２３区,47779,50772,98551,28643,30484,59127,19136,20288,39424,59.95,60.04,60.00,24,58.06,57.80,57.93
　　稲城市計,37764,37789,75553,22504,22434,44938,15260,15355,30615,59.59,59.37,59.48,[sanitize],56.08,55.61,55.85
