令和4年7月10日  執行,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,
公明党,,,,,,,,,,,,,,,,,,
18時  10分  現在　確定,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,よこやま,竹内,上田,熊野,谷あい,くぼた,宮崎,河合,淀屋,中北,深澤,中嶋,奈良,光延,伊大知,塩野,水島
,,信一,しんじ,いさむ,せいし,正明,てつや,まさる,綾,伸雄,京子,淳,健二,直記,康治,孝一,正貴,春香
　★都計,38079.135,9809.000,11299.000,4096.000,1065.000,2395.000,4855.091,482.000,732.044,170.000,1570.000,125.000,281.000,80.000,33.000,90.000,113.000,884.000
　☆区部計,27329.207,7019.000,8537.000,2890.000,673.000,1541.000,3378.489,323.000,542.718,120.000,1143.000,100.000,204.000,54.000,24.000,71.000,74.000,635.000
　　千代田区,117.000,23.000,27.000,16.000,5.000,8.000,22.000,4.000,0.000,1.000,7.000,0.000,1.000,0.000,0.000,1.000,0.000,2.000
　　中央区,327.644,93.000,98.000,19.000,13.000,24.000,38.644,3.000,5.000,3.000,15.000,2.000,7.000,1.000,0.000,0.000,0.000,6.000
　　港区,419.000,114.000,95.000,58.000,23.000,35.000,42.000,5.000,9.000,3.000,21.000,1.000,3.000,1.000,0.000,1.000,0.000,8.000
　　新宿区,1017.807,237.000,231.000,104.000,33.000,78.000,239.807,20.000,10.000,6.000,32.000,2.000,3.000,2.000,0.000,7.000,2.000,11.000
　　文京区,492.600,146.000,102.000,52.000,27.000,28.000,51.600,12.000,8.000,2.000,31.000,3.000,3.000,3.000,0.000,12.000,1.000,11.000
　　台東区,420.000,99.000,123.000,40.000,8.000,28.000,40.000,8.000,4.000,3.000,22.000,0.000,33.000,1.000,0.000,0.000,0.000,11.000
　　墨田区,839.038,194.000,335.000,81.000,19.000,45.000,77.000,8.000,11.038,4.000,32.000,1.000,7.000,2.000,0.000,2.000,4.000,17.000
　　江東区,2110.795,543.000,762.000,204.000,31.000,62.000,203.725,20.000,49.070,2.000,116.000,7.000,14.000,1.000,6.000,5.000,10.000,75.000
　　品川区,960.705,249.000,302.000,104.000,25.000,71.000,120.705,8.000,21.000,2.000,35.000,1.000,1.000,2.000,0.000,1.000,1.000,17.000
　　目黒区,637.036,160.000,188.000,74.000,23.000,52.000,82.000,8.000,9.036,7.000,18.000,1.000,3.000,0.000,0.000,0.000,3.000,9.000
　　大田区,2358.723,685.000,658.000,316.000,57.000,128.000,246.723,16.000,45.000,4.000,89.000,9.000,14.000,6.000,0.000,4.000,11.000,70.000
　　世田谷区,2360.519,691.000,514.000,250.000,72.000,166.000,285.375,32.000,70.144,24.000,127.000,12.000,20.000,6.000,5.000,7.000,4.000,75.000
　　渋谷区,426.000,120.000,102.000,24.000,17.000,48.000,55.000,3.000,12.000,2.000,23.000,3.000,3.000,3.000,1.000,0.000,1.000,9.000
　　中野区,871.068,200.000,259.000,114.000,23.000,71.000,102.000,13.000,10.068,3.000,29.000,4.000,24.000,1.000,1.000,0.000,2.000,15.000
　　杉並区,1200.000,284.000,282.000,138.000,44.000,123.000,181.000,17.000,27.000,4.000,48.000,3.000,10.000,3.000,1.000,3.000,3.000,29.000
　　豊島区,735.000,175.000,212.000,88.000,22.000,49.000,108.000,10.000,7.000,6.000,25.000,2.000,8.000,0.000,0.000,2.000,3.000,18.000
　　北区,1552.636,433.000,500.000,153.000,30.000,56.000,142.636,28.000,32.000,5.000,95.000,20.000,9.000,1.000,4.000,2.000,7.000,35.000
　　荒川区,713.839,123.000,220.000,39.000,11.000,39.000,239.809,2.000,7.030,3.000,8.000,1.000,8.000,1.000,0.000,0.000,3.000,9.000
　　板橋区,1428.698,372.000,421.000,152.000,37.000,108.000,172.656,18.000,29.042,5.000,50.000,10.000,4.000,4.000,1.000,5.000,5.000,35.000
