令和元年7月21日  執行,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,
東京都選挙管理委員会,,,,
幸福実現党,,,,
令和元年 7月22日 13時 25分 確定,,,,
開  票  区  名,計,1,2,3
,,釈,松島,及川
,,りょうこ,ひろのり,幸久
　★都計,3656.307,2410.000,219.000,1027.307
　☆区部計,2588.307,1695.000,168.000,725.307
　　千代田区,10.000,6.000,0.000,4.000
　　中央区,47.000,28.000,3.000,16.000
　　港区,143.000,108.000,6.000,29.000
　　新宿区,94.000,53.000,4.000,37.000
　　文京区,59.000,36.000,2.000,21.000
　　台東区,40.000,26.000,2.000,12.000
　　墨田区,54.000,38.000,4.000,12.000
　　江東区,175.000,115.000,13.000,47.000
　　品川区,153.000,114.000,3.000,36.000
　　目黒区,58.000,35.000,3.000,20.000
　　大田区,266.000,201.000,11.000,54.000
　　世田谷区,235.307,148.000,17.000,70.307
　　渋谷区,56.000,38.000,2.000,16.000
　　中野区,70.000,44.000,5.000,21.000
　　杉並区,122.000,78.000,6.000,38.000
　　豊島区,81.000,48.000,7.000,26.000
　　北区,100.000,61.000,15.000,24.000
　　荒川区,48.000,34.000,5.000,9.000
　　板橋区,140.000,86.000,13.000,41.000
　　練馬区,174.000,102.000,14.000,58.000
　　足立区,141.000,90.000,5.000,46.000
　　葛飾区,98.000,52.000,13.000,33.000
　　江戸川区,224.000,154.000,15.000,55.000
　☆市部計,1053.000,707.000,49.000,297.000
　　八王子市,138.000,94.000,8.000,36.000
　　立川市,39.000,29.000,1.000,9.000
　　武蔵野市,26.000,15.000,3.000,8.000
　　三鷹市,40.000,26.000,3.000,11.000
　　青梅市,37.000,23.000,2.000,12.000
　　府中市,63.000,42.000,4.000,17.000
　　昭島市,32.000,23.000,0.000,9.000
　　調布市,42.000,26.000,0.000,16.000
　　町田市,131.000,87.000,7.000,37.000
　　小金井市,21.000,16.000,1.000,4.000
　　小平市,47.000,31.000,0.000,16.000
　　日野市,83.000,56.000,5.000,22.000
　　東村山市,50.000,37.000,2.000,11.000
　　国分寺市,31.000,19.000,2.000,10.000
　　国立市,17.000,8.000,0.000,9.000
　　福生市,8.000,4.000,0.000,4.000
　　狛江市,24.000,10.000,3.000,11.000
　　東大和市,11.000,9.000,1.000,1.000
　　清瀬市,20.000,15.000,0.000,5.000
　　東久留米市,43.000,31.000,0.000,12.000
　　武蔵村山市,13.000,10.000,0.000,3.000
　　多摩市,29.000,23.000,1.000,5.000
　　稲城市,21.000,13.000,1.000,7.000
　　羽村市,11.000,5.000,3.000,3.000
　　あきる野市,20.000,16.000,0.000,4.000
　　西東京市,56.000,39.000,2.000,15.000
　☆西多摩郡計,13.000,8.000,1.000,4.000
　　瑞穂町,7.000,6.000,1.000,0.000
　　日の出町,3.000,1.000,0.000,2.000
　　檜原村,0.000,0.000,0.000,0.000
　　奥多摩町,3.000,1.000,0.000,2.000
　☆島部計,2.000,0.000,1.000,1.000
　　大島支庁小計,2.000,0.000,1.000,1.000
　　　大島町,0.000,0.000,0.000,0.000
　　　利島村,1.000,0.000,0.000,1.000
　　　新島村,0.000,0.000,0.000,0.000
　　　神津島村,1.000,0.000,1.000,0.000
　　三宅支庁小計,0.000,0.000,0.000,0.000
　　　三宅村,0.000,0.000,0.000,0.000
　　　御蔵島村,0.000,0.000,0.000,0.000
　　八丈支庁小計,0.000,0.000,0.000,0.000
　　　八丈町,0.000,0.000,0.000,0.000
　　　青ヶ島村,0.000,0.000,0.000,0.000
　　小笠原支庁小計,0.000,0.000,0.000,0.000
　　　小笠原村,0.000,0.000,0.000,0.000
