,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児
2016年,23,113,45,0,1,0
2017年,51,126,40,11,0,1
2018年,27,93,23,3,0,0
2019年,24,84,16,2,0,1
2020年,19,81,28,2,0,0
2021年,2,63,11,0,0,0
2022年,11,44,20,0,0,0
2023年,2,24,4,0,0,0
2024年,0,18,10,0,0,0
