,南地区,町田地区,忠生地区,鶴川地区,堺地区
2016年,69,32,4,35,42
2017年,89,50,10,61,19
2018年,70,39,5,28,4
2019年,67,22,7,20,11
2020年,58,30,10,16,16
2021年,36,15,1,19,5
2022年,33,26,2,6,8
2023年,18,3,1,8,0
2024年,23,3,0,2,0
