令和６年８月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1441,1533,2974,1633
下連雀２丁目,1657,1764,3421,1847
下連雀３丁目,4842,5469,10311,6444
下連雀４丁目,3059,3333,6392,3536
下連雀５丁目,2712,3237,5949,2542
下連雀６丁目,2183,2360,4543,2274
下連雀７丁目,2429,2751,5180,2503
下連雀８丁目,1652,1854,3506,1562
下連雀９丁目,2283,2477,4760,2018
小計,22258,24778,47036,24359
牟礼１丁目,1101,1191,2292,1207
牟礼２丁目,1800,2018,3818,2051
牟礼３丁目,1190,1141,2331,1102
牟礼４丁目,1591,1671,3262,1561
牟礼５丁目,1374,1341,2715,1374
牟礼６丁目,3092,3362,6454,2931
牟礼７丁目,923,899,1822,896
小計,11071,11623,22694,11122
井の頭１丁目,2338,2507,4845,2811
井の頭２丁目,1624,1784,3408,2086
井の頭３丁目,1090,1257,2347,1285
井の頭４丁目,1058,1061,2119,1163
井の頭５丁目,1602,1639,3241,1710
小計,7712,8248,15960,9055
中原１丁目,2052,2240,4292,2219
中原２丁目,1534,1614,3148,1506
中原３丁目,1553,1692,3245,1588
中原４丁目,1983,2116,4099,1945
小計,7122,7662,14784,7258
北野１丁目,733,799,1532,738
北野２丁目,1089,1128,2217,1002
北野３丁目,1055,1013,2068,979
北野４丁目,1032,1033,2065,1107
小計,3909,3973,7882,3826
新川１丁目,1065,1086,2151,1051
新川２丁目,763,775,1538,754
新川３丁目,1104,1080,2184,1140
新川４丁目,1540,1718,3258,1667
新川５丁目,1246,1309,2555,1389
新川６丁目,2142,2148,4290,2564
小計,7860,8116,15976,8565
上連雀１丁目,1621,1584,3205,1891
上連雀２丁目,1191,1243,2434,1451
上連雀３丁目,952,918,1870,1096
上連雀４丁目,1627,1618,3245,1744
上連雀５丁目,1389,1382,2771,1469
上連雀６丁目,1417,1600,3017,1598
上連雀７丁目,1423,1493,2916,1446
上連雀８丁目,1622,1757,3379,1600
上連雀９丁目,1478,1562,3040,1481
小計,12720,13157,25877,13776
井口１丁目,1915,1921,3836,1858
井口２丁目,1204,1324,2528,1167
井口３丁目,1095,1207,2302,1091
井口４丁目,1572,1624,3196,1576
井口５丁目,441,489,930,494
小計,6227,6565,12792,6186
深大寺１丁目,914,972,1886,872
深大寺２丁目,2198,1924,4122,2123
深大寺３丁目,1120,1017,2137,1126
小計,4232,3913,8145,4121
野崎１丁目,491,509,1000,530
野崎２丁目,1227,1272,2499,1249
野崎３丁目,1181,1201,2382,1049
野崎４丁目,338,295,633,274
小計,3237,3277,6514,3102
大沢１丁目,1398,1412,2810,1279
大沢２丁目,929,927,1856,932
大沢３丁目,829,903,1732,934
大沢４丁目,1418,1551,2969,1415
大沢５丁目,1026,1017,2043,899
大沢６丁目,735,739,1474,778
小計,6335,6549,12884,6237
合計,92683,97861,190544,97607
令和６年７月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1444,1527,2971,1634
下連雀２丁目,1656,1764,3420,1848
下連雀３丁目,4825,5477,10302,6420
下連雀４丁目,3053,3327,6380,3533
下連雀５丁目,2703,3247,5950,2544
下連雀６丁目,2189,2357,4546,2273
下連雀７丁目,2427,2752,5179,2502
下連雀８丁目,1662,1862,3524,1565
下連雀９丁目,2285,2479,4764,2020
小計,22244,24792,47036,24339
牟礼１丁目,1091,1180,2271,1204
牟礼２丁目,1810,2023,3833,2055
牟礼３丁目,1188,1143,2331,1101
牟礼４丁目,1601,1677,3278,1571
牟礼５丁目,1379,1345,2724,1381
牟礼６丁目,3089,3355,6444,2927
牟礼７丁目,921,900,1821,893
小計,11079,11623,22702,11132
井の頭１丁目,2345,2515,4860,2821
井の頭２丁目,1628,1791,3419,2092
井の頭３丁目,1085,1246,2331,1276
井の頭４丁目,1056,1060,2116,1160
井の頭５丁目,1606,1640,3246,1710
小計,7720,8252,15972,9059
中原１丁目,2046,2227,4273,2210
中原２丁目,1538,1617,3155,1505
中原３丁目,1551,1679,3230,1582
中原４丁目,1983,2114,4097,1943
小計,7118,7637,14755,7240
北野１丁目,734,800,1534,738
北野２丁目,1092,1125,2217,999
北野３丁目,1059,1012,2071,980
北野４丁目,1032,1037,2069,1110
小計,3917,3974,7891,3827
新川１丁目,1060,1082,2142,1049
新川２丁目,764,783,1547,753
新川３丁目,1090,1090,2180,1139
新川４丁目,1543,1719,3262,1668
新川５丁目,1248,1312,2560,1388
新川６丁目,2141,2152,4293,2568
小計,7846,8138,15984,8565
上連雀１丁目,1617,1587,3204,1893
上連雀２丁目,1190,1244,2434,1450
上連雀３丁目,951,921,1872,1100
上連雀４丁目,1626,1615,3241,1747
上連雀５丁目,1387,1381,2768,1468
上連雀６丁目,1423,1597,3020,1605
上連雀７丁目,1426,1494,2920,1447
上連雀８丁目,1625,1758,3383,1601
上連雀９丁目,1477,1562,3039,1481
小計,12722,13159,25881,13792
井口１丁目,1921,1923,3844,1858
井口２丁目,1200,1324,2524,1166
井口３丁目,1097,1215,2312,1097
井口４丁目,1569,1628,3197,1574
井口５丁目,441,486,927,490
小計,6228,6576,12804,6185
深大寺１丁目,918,974,1892,876
深大寺２丁目,2210,1919,4129,2132
深大寺３丁目,1120,1015,2135,1125
小計,4248,3908,8156,4133
野崎１丁目,492,510,1002,529
野崎２丁目,1223,1269,2492,1251
野崎３丁目,1183,1199,2382,1048
野崎４丁目,340,299,639,276
小計,3238,3277,6515,3104
大沢１丁目,1401,1415,2816,1277
大沢２丁目,924,932,1856,929
大沢３丁目,857,923,1780,982
大沢４丁目,1414,1542,2956,1406
大沢５丁目,1022,1018,2040,896
大沢６丁目,736,738,1474,776
小計,6354,6568,12922,6266
合計,92714,97904,190618,97642
令和６年６月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1450,1529,2979,1636
下連雀２丁目,1657,1765,3422,1850
下連雀３丁目,4829,5461,10290,6417
下連雀４丁目,3059,3327,6386,3539
下連雀５丁目,2705,3259,5964,2548
下連雀６丁目,2182,2354,4536,2265
下連雀７丁目,2421,2748,5169,2504
下連雀８丁目,1669,1859,3528,1568
下連雀９丁目,2294,2482,4776,2016
小計,22266,24784,47050,24343
牟礼１丁目,1092,1184,2276,1208
牟礼２丁目,1807,2020,3827,2049
牟礼３丁目,1191,1143,2334,1102
牟礼４丁目,1600,1683,3283,1579
牟礼５丁目,1378,1341,2719,1377
牟礼６丁目,3091,3354,6445,2927
牟礼７丁目,919,907,1826,898
小計,11078,11632,22710,11140
井の頭１丁目,2340,2515,4855,2810
井の頭２丁目,1627,1781,3408,2091
井の頭３丁目,1084,1244,2328,1269
井の頭４丁目,1059,1059,2118,1161
井の頭５丁目,1616,1637,3253,1718
小計,7726,8236,15962,9049
中原１丁目,2037,2228,4265,2207
中原２丁目,1541,1607,3148,1495
中原３丁目,1547,1689,3236,1578
中原４丁目,1985,2115,4100,1949
小計,7110,7639,14749,7229
北野１丁目,735,793,1528,732
北野２丁目,1087,1118,2205,994
北野３丁目,1060,1014,2074,983
北野４丁目,1033,1042,2075,1114
小計,3915,3967,7882,3823
新川１丁目,1064,1084,2148,1055
新川２丁目,766,788,1554,755
新川３丁目,1079,1087,2166,1138
新川４丁目,1543,1714,3257,1663
新川５丁目,1244,1320,2564,1391
新川６丁目,2139,2156,4295,2570
小計,7835,8149,15984,8572
上連雀１丁目,1610,1587,3197,1885
上連雀２丁目,1182,1247,2429,1447
上連雀３丁目,946,921,1867,1094
上連雀４丁目,1627,1617,3244,1749
上連雀５丁目,1391,1381,2772,1469
上連雀６丁目,1420,1595,3015,1602
上連雀７丁目,1426,1498,2924,1449
上連雀８丁目,1629,1756,3385,1600
上連雀９丁目,1466,1561,3027,1469
小計,12697,13163,25860,13764
井口１丁目,1917,1918,3835,1855
井口２丁目,1199,1326,2525,1168
井口３丁目,1097,1217,2314,1096
井口４丁目,1580,1627,3207,1583
井口５丁目,441,487,928,484
小計,6234,6575,12809,6186
深大寺１丁目,926,982,1908,885
深大寺２丁目,2215,1914,4129,2132
深大寺３丁目,1120,1015,2135,1129
小計,4261,3911,8172,4146
野崎１丁目,495,513,1008,530
野崎２丁目,1227,1264,2491,1251
野崎３丁目,1182,1197,2379,1048
野崎４丁目,344,300,644,281
小計,3248,3274,6522,3110
大沢１丁目,1400,1414,2814,1276
大沢２丁目,927,936,1863,930
大沢３丁目,881,969,1850,1054
大沢４丁目,1415,1544,2959,1407
大沢５丁目,1020,1021,2041,893
大沢６丁目,745,750,1495,783
小計,6388,6634,13022,6343
合計,92758,97964,190722,97705
令和６年５月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1450,1529,2979,1639
下連雀２丁目,1661,1767,3428,1855
下連雀３丁目,4827,5457,10284,6411
下連雀４丁目,3049,3322,6371,3531
下連雀５丁目,2709,3258,5967,2549
下連雀６丁目,2181,2348,4529,2260
下連雀７丁目,2418,2754,5172,2496
下連雀８丁目,1678,1864,3542,1575
下連雀９丁目,2297,2486,4783,2018
小計,22270,24785,47055,24334
牟礼１丁目,1088,1180,2268,1204
牟礼２丁目,1809,2018,3827,2046
牟礼３丁目,1195,1143,2338,1104
牟礼４丁目,1592,1687,3279,1576
牟礼５丁目,1375,1339,2714,1374
牟礼６丁目,3079,3345,6424,2918
牟礼７丁目,925,911,1836,899
小計,11063,11623,22686,11121
井の頭１丁目,2337,2522,4859,2814
井の頭２丁目,1625,1777,3402,2087
井の頭３丁目,1093,1239,2332,1274
井の頭４丁目,1062,1063,2125,1171
井の頭５丁目,1612,1644,3256,1720
小計,7729,8245,15974,9066
中原１丁目,2029,2222,4251,2198
中原２丁目,1542,1613,3155,1493
中原３丁目,1549,1690,3239,1583
中原４丁目,1988,2126,4114,1956
小計,7108,7651,14759,7230
北野１丁目,737,791,1528,731
北野２丁目,1083,1114,2197,990
北野３丁目,1054,1011,2065,978
北野４丁目,1032,1047,2079,1113
小計,3906,3963,7869,3812
新川１丁目,1063,1083,2146,1053
新川２丁目,763,788,1551,758
新川３丁目,1080,1087,2167,1136
新川４丁目,1548,1713,3261,1667
新川５丁目,1245,1329,2574,1398
新川６丁目,2138,2155,4293,2566
小計,7837,8155,15992,8578
上連雀１丁目,1609,1584,3193,1886
上連雀２丁目,1186,1252,2438,1453
上連雀３丁目,948,920,1868,1099
上連雀４丁目,1620,1611,3231,1741
上連雀５丁目,1392,1379,2771,1465
上連雀６丁目,1416,1589,3005,1599
上連雀７丁目,1429,1503,2932,1453
上連雀８丁目,1633,1756,3389,1601
上連雀９丁目,1459,1557,3016,1467
小計,12692,13151,25843,13764
井口１丁目,1918,1921,3839,1854
井口２丁目,1207,1326,2533,1168
井口３丁目,1091,1216,2307,1094
井口４丁目,1576,1625,3201,1580
井口５丁目,443,489,932,484
小計,6235,6577,12812,6180
深大寺１丁目,920,973,1893,877
深大寺２丁目,2218,1916,4134,2138
深大寺３丁目,1116,1010,2126,1122
小計,4254,3899,8153,4137
野崎１丁目,497,511,1008,529
野崎２丁目,1229,1262,2491,1252
野崎３丁目,1173,1194,2367,1041
野崎４丁目,347,301,648,285
小計,3246,3268,6514,3107
大沢１丁目,1395,1410,2805,1271
大沢２丁目,930,934,1864,927
大沢３丁目,886,974,1860,1060
大沢４丁目,1421,1548,2969,1412
大沢５丁目,1024,1021,2045,896
大沢６丁目,745,751,1496,785
小計,6401,6638,13039,6351
合計,92741,97955,190696,97680
令和６年４月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1449,1528,2977,1632
下連雀２丁目,1661,1757,3418,1843
下連雀３丁目,4848,5457,10305,6414
下連雀４丁目,3027,3302,6329,3497
下連雀５丁目,2706,3250,5956,2548
下連雀６丁目,2186,2344,4530,2258
下連雀７丁目,2418,2755,5173,2494
下連雀８丁目,1669,1859,3528,1559
下連雀９丁目,2303,2482,4785,2019
小計,22267,24734,47001,24264
牟礼１丁目,1082,1176,2258,1196
牟礼２丁目,1815,2017,3832,2046
牟礼３丁目,1179,1143,2322,1089
牟礼４丁目,1591,1688,3279,1570
牟礼５丁目,1368,1336,2704,1370
牟礼６丁目,3073,3338,6411,2908
牟礼７丁目,931,904,1835,900
小計,11039,11602,22641,11079
井の頭１丁目,2344,2524,4868,2819
井の頭２丁目,1606,1761,3367,2066
井の頭３丁目,1097,1236,2333,1266
井の頭４丁目,1066,1065,2131,1168
井の頭５丁目,1616,1639,3255,1714
小計,7729,8225,15954,9033
中原１丁目,2016,2221,4237,2193
中原２丁目,1539,1616,3155,1484
中原３丁目,1553,1687,3240,1583
中原４丁目,1997,2126,4123,1954
小計,7105,7650,14755,7214
北野１丁目,734,783,1517,721
北野２丁目,1084,1114,2198,994
北野３丁目,1051,1005,2056,967
北野４丁目,1027,1046,2073,1105
小計,3896,3948,7844,3787
新川１丁目,1067,1082,2149,1047
新川２丁目,758,784,1542,748
新川３丁目,1063,1059,2122,1098
新川４丁目,1543,1703,3246,1658
新川５丁目,1239,1321,2560,1385
新川６丁目,2114,2126,4240,2520
小計,7784,8075,15859,8456
上連雀１丁目,1615,1591,3206,1896
上連雀２丁目,1181,1254,2435,1440
上連雀３丁目,953,922,1875,1104
上連雀４丁目,1616,1600,3216,1728
上連雀５丁目,1394,1375,2769,1465
上連雀６丁目,1420,1589,3009,1597
上連雀７丁目,1433,1509,2942,1453
上連雀８丁目,1636,1753,3389,1600
上連雀９丁目,1461,1555,3016,1466
小計,12709,13148,25857,13749
井口１丁目,1902,1902,3804,1837
井口２丁目,1207,1328,2535,1166
井口３丁目,1091,1219,2310,1095
井口４丁目,1577,1618,3195,1572
井口５丁目,436,482,918,477
小計,6213,6549,12762,6147
深大寺１丁目,920,969,1889,869
深大寺２丁目,2196,1909,4105,2118
深大寺３丁目,1113,1011,2124,1114
小計,4229,3889,8118,4101
野崎１丁目,499,511,1010,534
野崎２丁目,1225,1260,2485,1248
野崎３丁目,1183,1194,2377,1044
野崎４丁目,344,301,645,283
小計,3251,3266,6517,3109
大沢１丁目,1397,1416,2813,1271
大沢２丁目,929,936,1865,924
大沢３丁目,853,946,1799,998
大沢４丁目,1421,1553,2974,1413
大沢５丁目,1025,1029,2054,897
大沢６丁目,749,747,1496,786
小計,6374,6627,13001,6289
合計,92596,97713,190309,97228
令和６年３月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1439,1528,2967,1622
下連雀２丁目,1663,1763,3426,1841
下連雀３丁目,4836,5415,10251,6358
下連雀４丁目,3033,3294,6327,3490
下連雀５丁目,2707,3253,5960,2544
下連雀６丁目,2179,2334,4513,2250
下連雀７丁目,2421,2749,5170,2478
下連雀８丁目,1669,1857,3526,1555
下連雀９丁目,2310,2479,4789,2019
小計,22257,24672,46929,24157
牟礼１丁目,1079,1170,2249,1192
牟礼２丁目,1811,2001,3812,2025
牟礼３丁目,1170,1131,2301,1070
牟礼４丁目,1577,1688,3265,1552
牟礼５丁目,1371,1339,2710,1365
牟礼６丁目,3066,3316,6382,2883
牟礼７丁目,929,912,1841,898
小計,11003,11557,22560,10985
井の頭１丁目,2345,2508,4853,2797
井の頭２丁目,1563,1721,3284,2012
井の頭３丁目,1092,1225,2317,1255
井の頭４丁目,1065,1065,2130,1161
井の頭５丁目,1622,1646,3268,1717
小計,7687,8165,15852,8942
中原１丁目,2009,2213,4222,2177
中原２丁目,1541,1612,3153,1478
中原３丁目,1551,1675,3226,1573
中原４丁目,1999,2119,4118,1951
小計,7100,7619,14719,7179
北野１丁目,738,788,1526,722
北野２丁目,1082,1113,2195,987
北野３丁目,1057,1016,2073,972
北野４丁目,1026,1035,2061,1092
小計,3903,3952,7855,3773
新川１丁目,1062,1077,2139,1039
新川２丁目,754,780,1534,746
新川３丁目,1040,1052,2092,1077
新川４丁目,1543,1697,3240,1649
新川５丁目,1247,1334,2581,1394
新川６丁目,2151,2099,4250,2522
小計,7797,8039,15836,8427
上連雀１丁目,1600,1578,3178,1868
上連雀２丁目,1176,1242,2418,1425
上連雀３丁目,954,922,1876,1095
上連雀４丁目,1599,1580,3179,1697
上連雀５丁目,1397,1376,2773,1462
上連雀６丁目,1413,1580,2993,1585
上連雀７丁目,1429,1504,2933,1453
上連雀８丁目,1643,1743,3386,1597
上連雀９丁目,1468,1562,3030,1465
小計,12679,13087,25766,13647
井口１丁目,1895,1892,3787,1826
井口２丁目,1208,1333,2541,1167
井口３丁目,1081,1216,2297,1088
井口４丁目,1577,1617,3194,1570
井口５丁目,437,487,924,479
小計,6198,6545,12743,6130
深大寺１丁目,927,978,1905,871
深大寺２丁目,2158,1895,4053,2079
深大寺３丁目,1104,1007,2111,1100
小計,4189,3880,8069,4050
野崎１丁目,492,507,999,525
野崎２丁目,1212,1241,2453,1235
野崎３丁目,1183,1195,2378,1044
野崎４丁目,343,297,640,278
小計,3230,3240,6470,3082
大沢１丁目,1395,1417,2812,1271
大沢２丁目,934,935,1869,926
大沢３丁目,847,937,1784,987
大沢４丁目,1426,1558,2984,1416
大沢５丁目,1026,1036,2062,897
大沢６丁目,746,744,1490,778
小計,6374,6627,13001,6275
合計,92417,97383,189800,96647
令和６年２月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1436,1525,2961,1617
下連雀２丁目,1669,1766,3435,1846
下連雀３丁目,4841,5428,10269,6368
下連雀４丁目,3019,3302,6321,3481
下連雀５丁目,2704,3242,5946,2539
下連雀６丁目,2178,2327,4505,2242
下連雀７丁目,2425,2739,5164,2471
下連雀８丁目,1671,1862,3533,1557
下連雀９丁目,2307,2473,4780,2010
小計,22250,24664,46914,24131
牟礼１丁目,1063,1159,2222,1183
牟礼２丁目,1817,2007,3824,2033
牟礼３丁目,1171,1126,2297,1067
牟礼４丁目,1576,1690,3266,1555
牟礼５丁目,1367,1342,2709,1366
牟礼６丁目,3075,3319,6394,2887
牟礼７丁目,933,910,1843,900
小計,11002,11553,22555,10991
井の頭１丁目,2350,2504,4854,2798
井の頭２丁目,1565,1723,3288,2012
井の頭３丁目,1092,1220,2312,1253
井の頭４丁目,1066,1068,2134,1161
井の頭５丁目,1631,1647,3278,1729
小計,7704,8162,15866,8953
中原１丁目,2006,2213,4219,2178
中原２丁目,1535,1604,3139,1475
中原３丁目,1559,1677,3236,1572
中原４丁目,2002,2116,4118,1942
小計,7102,7610,14712,7167
北野１丁目,743,794,1537,728
北野２丁目,1081,1112,2193,989
北野３丁目,1052,1016,2068,968
北野４丁目,1023,1033,2056,1091
小計,3899,3955,7854,3776
新川１丁目,1068,1086,2154,1045
新川２丁目,750,784,1534,746
新川３丁目,1047,1061,2108,1083
新川４丁目,1548,1701,3249,1654
新川５丁目,1249,1336,2585,1401
新川６丁目,2171,2110,4281,2547
小計,7833,8078,15911,8476
上連雀１丁目,1593,1569,3162,1865
上連雀２丁目,1174,1239,2413,1427
上連雀３丁目,958,926,1884,1102
上連雀４丁目,1598,1586,3184,1700
上連雀５丁目,1395,1380,2775,1465
上連雀６丁目,1409,1579,2988,1582
上連雀７丁目,1429,1502,2931,1452
上連雀８丁目,1648,1749,3397,1604
上連雀９丁目,1469,1566,3035,1464
小計,12673,13096,25769,13661
井口１丁目,1898,1882,3780,1825
井口２丁目,1207,1324,2531,1157
井口３丁目,1081,1220,2301,1091
井口４丁目,1574,1615,3189,1562
井口５丁目,439,490,929,478
小計,6199,6531,12730,6113
深大寺１丁目,928,979,1907,868
深大寺２丁目,2145,1882,4027,2069
深大寺３丁目,1105,1013,2118,1104
小計,4178,3874,8052,4041
野崎１丁目,489,504,993,522
野崎２丁目,1218,1239,2457,1239
野崎３丁目,1188,1196,2384,1048
野崎４丁目,340,295,635,276
小計,3235,3234,6469,3085
大沢１丁目,1399,1416,2815,1271
大沢２丁目,942,935,1877,930
大沢３丁目,850,943,1793,994
大沢４丁目,1431,1558,2989,1420
大沢５丁目,1028,1038,2066,901
大沢６丁目,742,742,1484,775
小計,6392,6632,13024,6291
合計,92467,97389,189856,96685
令和６年１月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1444,1528,2972,1627
下連雀２丁目,1664,1755,3419,1839
下連雀３丁目,4859,5435,10294,6383
下連雀４丁目,3016,3298,6314,3484
下連雀５丁目,2703,3244,5947,2540
下連雀６丁目,2180,2327,4507,2241
下連雀７丁目,2426,2736,5162,2472
下連雀８丁目,1671,1862,3533,1556
下連雀９丁目,2309,2466,4775,2007
小計,22272,24651,46923,24149
牟礼１丁目,1063,1153,2216,1177
牟礼２丁目,1816,2008,3824,2033
牟礼３丁目,1174,1130,2304,1071
牟礼４丁目,1577,1693,3270,1560
牟礼５丁目,1374,1346,2720,1366
牟礼６丁目,3065,3317,6382,2891
牟礼７丁目,934,910,1844,901
小計,11003,11557,22560,10999
井の頭１丁目,2351,2523,4874,2813
井の頭２丁目,1573,1723,3296,2021
井の頭３丁目,1095,1219,2314,1248
井の頭４丁目,1068,1076,2144,1166
井の頭５丁目,1633,1648,3281,1734
小計,7720,8189,15909,8982
中原１丁目,2003,2218,4221,2177
中原２丁目,1542,1611,3153,1483
中原３丁目,1560,1681,3241,1574
中原４丁目,2006,2111,4117,1946
小計,7111,7621,14732,7180
北野１丁目,742,794,1536,725
北野２丁目,1079,1114,2193,991
北野３丁目,1055,1018,2073,972
北野４丁目,1020,1027,2047,1081
小計,3896,3953,7849,3769
新川１丁目,1074,1086,2160,1051
新川２丁目,750,793,1543,753
新川３丁目,1049,1068,2117,1090
新川４丁目,1549,1700,3249,1655
新川５丁目,1262,1335,2597,1407
新川６丁目,2185,2115,4300,2557
小計,7869,8097,15966,8513
上連雀１丁目,1585,1569,3154,1861
上連雀２丁目,1175,1227,2402,1422
上連雀３丁目,947,926,1873,1091
上連雀４丁目,1595,1582,3177,1696
上連雀５丁目,1391,1384,2775,1465
上連雀６丁目,1399,1573,2972,1573
上連雀７丁目,1418,1502,2920,1443
上連雀８丁目,1647,1758,3405,1610
上連雀９丁目,1472,1577,3049,1471
小計,12629,13098,25727,13632
井口１丁目,1893,1892,3785,1819
井口２丁目,1203,1320,2523,1152
井口３丁目,1082,1225,2307,1101
井口４丁目,1585,1625,3210,1572
井口５丁目,440,489,929,478
小計,6203,6551,12754,6122
深大寺１丁目,929,984,1913,872
深大寺２丁目,2148,1882,4030,2072
深大寺３丁目,1109,1011,2120,1107
小計,4186,3877,8063,4051
野崎１丁目,486,510,996,518
野崎２丁目,1216,1238,2454,1235
野崎３丁目,1188,1197,2385,1049
野崎４丁目,337,292,629,274
小計,3227,3237,6464,3076
大沢１丁目,1397,1416,2813,1272
大沢２丁目,938,931,1869,924
大沢３丁目,851,943,1794,993
大沢４丁目,1430,1555,2985,1416
大沢５丁目,1025,1034,2059,896
大沢６丁目,749,743,1492,778
小計,6390,6622,13012,6279
合計,92506,97453,189959,96752
