三鷹市 固定資産台帳（平成28年度末）,,,,,,,,,,（単位：円）
会計区分,資産区分,資産名称,取得年月日,取得価額等,減価償却累計額,現在価額,"耐用
年数",用途,数量,"単位
呼称"
一般会計,事業用資産/土地,三鷹ネットワーク大学(下連雀三丁目212-12-1),2005/7/11,"47,589,690",0,"47,589,690",,その他,115.79,㎡
一般会計,事業用資産/建物,三鷹ネットワーク大学,2005/7/11,"313,140,000","75,779,880","237,360,120",47,その他,508.41,㎡
一般会計,事業用資産/建物,三鷹国際交流センター,2002/2/28,"76,482,316","22,944,690","53,537,626",50,その他,269.79,㎡
一般会計,事業用資産/建物,三鷹市女性交流室,2002/2/28,"19,442,234","5,832,660","13,609,574",50,その他,68.70,㎡
一般会計,有形固定資産/物品/物品,会議用テーブル フォールディングテーブル　ＸＳＧＬ－４４０／２,2005/9/22,"504,000","371,448","132,552",15,,1.00,式
一般会計,有形固定資産/物品/物品,その他事業用機械器具 「Poki」着ぐるみ 身長165cmの人が入った場合、毛までの全高が約2m6cm程,2009/12/18,"897,750","785,526","112,224",8,,1.00,式
一般会計,事業用資産/工作物,三鷹中央防災公園・元気創造プラザフロアスイッチ等設置工事,2017/3/24,"14,503,667",0,"14,503,667",6,庁舎,1.00,式
一般会計,事業用資産/工作物,三鷹中央防災公園・元気創造プラザ光ケーブル敷設等工事,2017/3/23,"13,446,000",0,"13,446,000",6,庁舎,1.00,式
一般会計,有形固定資産/物品/物品,その他情報処理機器 OCRシステム　TOM960ex-28,2011/6/30,"3,904,950","3,904,949",1,5,,1.00,式
一般会計,有形固定資産/物品/物品,裁断機 ディタッチャー（トッパンフォームズ社製　Potencia125）,2011/12/28,"1,785,000","1,784,999",1,5,,1.00,式
一般会計,有形固定資産/物品/物品,コンピューター IPS　IBM社製　GX4004C-V2-200-1-P,2012/7/31,"1,246,875","1,246,872",3,4,,1.00,式
一般会計,有形固定資産/物品/物品,コンピューター IPS　IBM社製　GX4004C-V2-200-1-P,2012/7/31,"1,246,875","1,246,872",3,4,,1.00,式
一般会計,有形固定資産/物品/物品,コンピューター Webサーバ用機器等一式　2583PAY、42D0677、46M0901、39Y7926、4815W6J、91Y7474、OTOBMMJ2XSBCPN3700Z、A1LNLSJPS91,2014/9/30,"926,398","463,198","463,200",4,,1.00,式
一般会計,有形固定資産/物品/物品,コンピューター 内部DNSサーバ用機器等一式　2583PAY、42D0677、46M0901、39Y7926、4815W6J、91Y7474、SPZZLLJ3XSBEPN3702Z、A1LNLSJPS,2014/9/30,"861,530","430,764","430,766",4,,1.00,式
一般会計,有形固定資産/物品/物品,その他情報処理機器 Barracuda Spam & Virus Firewall Plus 300,2015/2/28,"1,474,200","589,680","884,520",5,,1.00,式
一般会計,有形固定資産/物品/物品,"コンピューター BlueCoat　SG200-30,ProxyEdition等　SC-BC-000-01一式",2014/12/26,"3,996,000","1,998,000","1,998,000",4,,1.00,式
一般会計,有形固定資産/物品/物品,"コンピューター BlueCoat　SG200-30,ProxyEdition等　SC-BC-000-01一式",2014/12/26,"3,996,000","1,998,000","1,998,000",4,,1.00,式
一般会計,有形固定資産/物品/物品,その他事務用機器 シーラー機(6855ST PRESSLE DuoⅡ),2016/8/29,"1,544,400",0,"1,544,400",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,北野ハピネスセンター障がい児相談支援システム,2015/3/31,"3,998,160","799,632","3,198,528",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,避難行動要支援者名簿管理システム,2014/3/31,"981,750","392,700","589,050",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,三鷹市生涯学習施設等予約システム,2016/12/28,"38,375,000",0,"38,375,000",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,三鷹市健康・体力相談支援システム,2017/3/31,"20,240,000",0,"20,240,000",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,三鷹市健康・体力相談支援システム,2017/3/31,"20,240,000",0,"20,240,000",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,三鷹市生涯学習施設等予約システム,2016/12/28,"38,375,000",0,"38,375,000",5,,1.00,式
一般会計,無形固定資産/ソフトウェア,北野ハピネスセンター台帳管理システム,2017/3/31,"2,998,500",0,"2,998,500",5,,1.00,式
一般会計,事業用資産/土地,多機能複合施設（仮称）建設敷地(新川六丁目720-7),2013/3/21,"1,765,228,000",0,"1,765,228,000",,庁舎,"4,658.06",㎡
一般会計,事業用資産/建物,元気創造プラザ,2017/2/28,"5,169,615,000",0,"5,169,615,000",50,庁舎,1.00,棟
一般会計,事業用資産/建物,平成28年度三鷹中央防災公園・元気創造プラザ実施設計等業務,2017/2/28,"4,903,200",0,"4,903,200",50,庁舎,1.00,式
一般会計,事業用資産/建物,元気創造プラザ（付随費用）,2017/2/28,"395,823,600",0,"395,823,600",50,庁舎,1.00,式
一般会計,事業用資産/建物,総合スポーツセンター,2017/2/28,"9,415,611,705",0,"9,415,611,705",47,体育館,"9,410.37",㎡
一般会計,事業用資産/工作物,三鷹中央防災公園・元気創造プラザ看板等設置工事,2017/3/29,"5,508,000",0,"5,508,000",8,庁舎,1.00,式
一般会計,インフラ資産/土地,中央防災公園,2017/2/28,"5,833,120,385",0,"5,833,120,385",,公園,"15,335.77",㎡
一般会計,インフラ資産/工作物,市道第226号線（電線共同溝）,2016/3/11,"41,825,987","1,045,649","40,780,338",40,道路,255.32,ｍ
一般会計,有形固定資産/物品/物品,ロッカー 貴重品ロッカー　FF-20VRP（アルファ）,2017/3/17,"842,400",0,"842,400",15,,1.00,式
一般会計,有形固定資産/物品/物品,ロッカー 貴重品ロッカー　FF-20VRP（アルファ）,2017/3/17,"842,400",0,"842,400",15,,1.00,式
一般会計,有形固定資産/物品/物品,周辺機器 プロジェクター（EB-2245U),2017/3/17,"699,300",0,"699,300",5,,1.00,式
一般会計,有形固定資産/物品/物品,その他机類 喫煙所パーテーション　,2017/3/30,"2,662,200",0,"2,662,200",8,,1.00,式
一般会計,事業用資産/土地,市民センター(野崎一丁目3-2),1962/11/21,"19,539,710",0,"19,539,710",,庁舎,76.03,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目4-1),1962/11/21,"90,903,470",0,"90,903,470",,庁舎,353.71,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目5-1),1962/11/21,"990,616,780",0,"990,616,780",,庁舎,"3,854.54",㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目6-1),1962/11/21,"830,893,850",0,"830,893,850",,庁舎,"3,233.05",㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目6-2),1963/3/22,"119,762,000",0,"119,762,000",,庁舎,466.00,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目7),1965/9/17,"338,983,000",0,"338,983,000",,庁舎,"1,319.00",㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目8-3),1962/11/21,"175,862,530",0,"175,862,530",,庁舎,684.29,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目8-5),1962/11/21,"29,925,080",0,"29,925,080",,庁舎,116.44,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目9-2),1965/9/17,"509,751,790",0,"509,751,790",,庁舎,"1,983.47",㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目9-3),1965/9/17,"270,166,110",0,"270,166,110",,庁舎,"1,051.23",㎡
一般会計,事業用資産/土地,市民センター(下連雀九丁目348-13),1993/3/4,"140,772,200",0,"140,772,200",,庁舎,134.34,㎡
一般会計,事業用資産/土地,市民センター(下連雀九丁目348-14),1993/3/4,"93,418,500",0,"93,418,500",,庁舎,89.15,㎡
一般会計,事業用資産/土地,市民センター(下連雀九丁目348-6),1993/3/4,"192,705,182",0,"192,705,182",,庁舎,183.90,㎡
一般会計,事業用資産/土地,市民センター(野崎一丁目3-1),1962/11/21,"22,927,840",0,"22,927,840",,庁舎,191.73,㎡
