平成30年12月１日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,8,11,52,28,11,10,15,17,14,166
下連雀　　　,男,1,12,11,63,21,19,20,17,18,22,203
下連雀　　　,男,2,14,12,43,30,14,15,12,23,33,196
下連雀　　　,男,3,11,11,44,33,13,11,9,27,28,187
下連雀　　　,男,4,8,10,40,23,10,23,19,27,27,187
下連雀　　　,男,5,5,14,34,33,18,19,19,21,37,200
下連雀　　　,男,6,12,15,35,21,20,20,25,23,37,208
下連雀　　　,男,7,7,19,33,33,22,9,26,19,50,218
下連雀　　　,男,8,15,12,28,19,16,14,21,28,33,186
下連雀　　　,男,9,9,12,27,24,11,23,24,31,38,199
下連雀　　　,男,10,10,10,38,23,16,15,19,22,42,195
下連雀　　　,男,11,15,13,24,19,24,16,26,18,30,185
下連雀　　　,男,12,14,9,20,20,25,11,20,16,32,167
下連雀　　　,男,13,12,12,21,21,23,8,20,24,40,181
下連雀　　　,男,14,16,10,18,17,24,20,22,19,28,174
下連雀　　　,男,15,12,10,19,20,25,28,24,25,22,185
下連雀　　　,男,16,14,13,23,12,35,23,24,14,34,192
下連雀　　　,男,17,12,11,21,16,23,18,20,17,21,159
下連雀　　　,男,18,11,16,31,27,18,20,22,16,28,189
下連雀　　　,男,19,10,17,40,23,17,22,27,19,28,203
下連雀　　　,男,20,18,11,29,32,28,35,27,18,19,217
下連雀　　　,男,21,11,12,43,29,20,27,23,15,23,203
下連雀　　　,男,22,13,14,45,36,20,29,28,16,17,218
下連雀　　　,男,23,12,19,48,33,14,36,18,23,19,222
下連雀　　　,男,24,20,25,71,37,13,30,18,18,21,253
下連雀　　　,男,25,21,21,67,39,17,23,15,21,14,238
下連雀　　　,男,26,19,30,78,41,4,23,21,19,12,247
下連雀　　　,男,27,15,22,72,52,11,22,16,13,12,235
下連雀　　　,男,28,25,17,86,38,18,27,19,8,7,245
下連雀　　　,男,29,24,25,79,36,12,22,22,17,22,259
下連雀　　　,男,30,24,25,83,46,9,30,22,18,14,271
下連雀　　　,男,31,32,23,84,50,10,17,27,12,11,266
下連雀　　　,男,32,22,31,93,51,14,19,21,17,23,291
下連雀　　　,男,33,10,20,89,54,17,24,29,22,26,291
下連雀　　　,男,34,25,25,91,50,23,23,24,25,15,301
下連雀　　　,男,35,24,30,103,49,17,18,32,17,22,312
下連雀　　　,男,36,14,34,86,46,17,35,29,22,25,308
下連雀　　　,男,37,22,29,87,43,16,25,26,19,32,299
下連雀　　　,男,38,17,24,103,52,23,35,23,24,44,345
下連雀　　　,男,39,24,23,86,46,16,35,31,29,43,333
下連雀　　　,男,40,19,30,91,55,30,27,31,23,59,365
下連雀　　　,男,41,22,25,95,68,32,23,28,38,39,370
下連雀　　　,男,42,29,28,103,50,25,35,36,28,57,391
下連雀　　　,男,43,21,31,88,60,22,31,44,39,54,390
下連雀　　　,男,44,21,26,86,63,27,32,41,31,67,394
下連雀　　　,男,45,39,34,82,54,30,30,35,44,48,396
下連雀　　　,男,46,14,19,82,63,45,41,48,31,53,396
下連雀　　　,男,47,24,28,85,65,37,36,42,42,53,412
下連雀　　　,男,48,28,25,96,49,36,29,49,28,62,402
下連雀　　　,男,49,27,29,86,43,56,41,35,23,47,387
下連雀　　　,男,50,31,18,81,45,36,25,46,43,41,366
下連雀　　　,男,51,35,22,80,41,41,24,42,42,51,378
下連雀　　　,男,52,16,17,64,41,23,37,32,23,31,284
下連雀　　　,男,53,22,28,91,57,47,33,39,39,40,396
下連雀　　　,男,54,17,29,68,51,35,40,49,34,34,357
下連雀　　　,男,55,12,16,65,36,34,33,40,21,36,293
下連雀　　　,男,56,16,25,62,38,34,35,34,26,23,293
下連雀　　　,男,57,20,20,62,42,20,22,32,19,21,258
下連雀　　　,男,58,24,20,53,33,24,28,27,18,23,250
下連雀　　　,男,59,18,25,66,45,28,28,37,24,26,297
