令和５年12月１日現在,,,
年齢,男,女　,合計
0,564 ,577 ,1141 
1,639 ,605 ,1244 
2,709 ,630 ,1339 
3,691 ,705 ,1396 
4,766 ,694 ,1460 
5,855 ,758 ,1613 
6,798 ,778 ,1576 
7,914 ,852 ,1766 
8,886 ,824 ,1710 
9,880 ,846 ,1726 
10,878 ,831 ,1709 
11,832 ,793 ,1625 
12,905 ,830 ,1735 
13,827 ,845 ,1672 
14,862 ,839 ,1701 
15,858 ,792 ,1650 
16,803 ,760 ,1563 
17,782 ,800 ,1582 
18,851 ,801 ,1652 
19,910 ,867 ,1777 
20,919 ,918 ,1837 
21,1015 ,1021 ,2036 
22,991 ,1060 ,2051 
23,1143 ,1151 ,2294 
24,1208 ,1199 ,2407 
25,1226 ,1206 ,2432 
26,1150 ,1210 ,2360 
27,1156 ,1114 ,2270 
28,1136 ,1135 ,2271 
29,1154 ,1095 ,2249 
30,1067 ,1080 ,2147 
31,1154 ,1134 ,2288 
32,1091 ,1043 ,2134 
33,1092 ,1086 ,2178 
34,1153 ,1126 ,2279 
35,1221 ,1259 ,2480 
36,1195 ,1172 ,2367 
37,1283 ,1231 ,2514 
38,1298 ,1343 ,2641 
39,1362 ,1406 ,2768 
40,1422 ,1330 ,2752 
41,1388 ,1344 ,2732 
42,1397 ,1405 ,2802 
43,1433 ,1383 ,2816 
44,1465 ,1476 ,2941 
45,1519 ,1542 ,3061 
46,1466 ,1526 ,2992 
47,1479 ,1542 ,3021 
48,1510 ,1506 ,3016 
49,1562 ,1614 ,3176 
50,1686 ,1633 ,3319 
51,1593 ,1650 ,3243 
52,1638 ,1636 ,3274 
53,1555 ,1600 ,3155 
54,1580 ,1574 ,3154 
55,1513 ,1520 ,3033 
56,1509 ,1507 ,3016 
57,1130 ,1160 ,2290 
58,1548 ,1418 ,2966 
59,1408 ,1206 ,2614 
60,1228 ,1235 ,2463 
61,1195 ,1192 ,2387 
62,1114 ,1038 ,2152 
63,995 ,1069 ,2064 
64,1053 ,996 ,2049 
65,934 ,944 ,1878 
66,851 ,894 ,1745 
67,848 ,884 ,1732 
68,769 ,847 ,1616 
69,845 ,850 ,1695 
70,821 ,893 ,1714 
71,816 ,876 ,1692 
72,906 ,940 ,1846 
73,931 ,1040 ,1971 
74,1026 ,1156 ,2182 
75,988 ,1255 ,2243 
76,918 ,1185 ,2103 
77,614 ,765 ,1379 
78,565 ,739 ,1304 
79,690 ,900 ,1590 
80,651 ,899 ,1550 
81,622 ,890 ,1512 
82,602 ,869 ,1471 
83,500 ,774 ,1274 
84,395 ,710 ,1105 
85,399 ,644 ,1043 
86,384 ,681 ,1065 
87,332 ,676 ,1008 
88,297 ,571 ,868 
89,254 ,519 ,773 
90,225 ,443 ,668 
91,197 ,479 ,676 
92,160 ,375 ,535 
93,139 ,302 ,441 
94,80 ,254 ,334 
95,65 ,199 ,264 
96,54 ,150 ,204 
97,31 ,123 ,154 
98,24 ,91 ,115 
99,9 ,58 ,67 
100,7 ,45 ,52 
101,5 ,27 ,32 
102,3 ,20 ,23 
103,0 ,11 ,11 
104,0 ,2 ,2 
105,0 ,4 ,4 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92567 ,97504 ,190071 
令和５年11月１日現在,,,
年齢,男,女　,合計
0,579 ,595 ,1174 
1,618 ,604 ,1222 
2,706 ,634 ,1340 
3,699 ,689 ,1388 
4,786 ,701 ,1487 
5,855 ,776 ,1631 
6,800 ,786 ,1586 
7,917 ,844 ,1761 
8,879 ,813 ,1692 
9,885 ,856 ,1741 
10,882 ,841 ,1723 
11,816 ,798 ,1614 
12,931 ,819 ,1750 
13,805 ,866 ,1671 
14,863 ,806 ,1669 
15,852 ,790 ,1642 
16,805 ,755 ,1560 
17,798 ,819 ,1617 
18,850 ,797 ,1647 
19,908 ,878 ,1786 
20,930 ,939 ,1869 
21,1014 ,1029 ,2043 
22,1024 ,1081 ,2105 
23,1135 ,1139 ,2274 
24,1219 ,1198 ,2417 
25,1196 ,1220 ,2416 
26,1155 ,1202 ,2357 
27,1141 ,1136 ,2277 
28,1168 ,1129 ,2297 
29,1131 ,1093 ,2224 
30,1076 ,1089 ,2165 
31,1160 ,1121 ,2281 
32,1080 ,1066 ,2146 
33,1108 ,1077 ,2185 
34,1137 ,1126 ,2263 
35,1224 ,1250 ,2474 
36,1166 ,1166 ,2332 
37,1303 ,1249 ,2552 
38,1298 ,1354 ,2652 
39,1384 ,1370 ,2754 
40,1417 ,1350 ,2767 
41,1398 ,1349 ,2747 
42,1392 ,1393 ,2785 
43,1440 ,1380 ,2820 
44,1471 ,1503 ,2974 
45,1504 ,1534 ,3038 
46,1468 ,1521 ,2989 
47,1486 ,1551 ,3037 
48,1506 ,1498 ,3004 
49,1591 ,1658 ,3249 
50,1658 ,1593 ,3251 
51,1612 ,1656 ,3268 
52,1620 ,1657 ,3277 
53,1555 ,1585 ,3140 
54,1588 ,1576 ,3164 
