令和５年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1453 ,1527 ,2980 ,1632 
下連雀２丁目,1666 ,1755 ,3421 ,1839 
下連雀３丁目,4875 ,5449 ,10324 ,6398 
下連雀４丁目,3026 ,3304 ,6330 ,3490 
下連雀５丁目,2708 ,3241 ,5949 ,2542 
下連雀６丁目,2179 ,2325 ,4504 ,2238 
下連雀７丁目,2418 ,2730 ,5148 ,2466 
下連雀８丁目,1677 ,1868 ,3545 ,1562 
下連雀９丁目,2301 ,2457 ,4758 ,1997 
小計,22303 ,24656 ,46959 ,24164 
牟礼１丁目,1053 ,1143 ,2196 ,1172 
牟礼２丁目,1827 ,2021 ,3848 ,2043 
牟礼３丁目,1186 ,1138 ,2324 ,1078 
牟礼４丁目,1579 ,1704 ,3283 ,1566 
牟礼５丁目,1373 ,1344 ,2717 ,1367 
牟礼６丁目,3070 ,3315 ,6385 ,2890 
牟礼７丁目,935 ,912 ,1847 ,905 
小計,11023 ,11577 ,22600 ,11021 
井の頭１丁目,2353 ,2536 ,4889 ,2821 
井の頭２丁目,1565 ,1716 ,3281 ,2007 
井の頭３丁目,1093 ,1215 ,2308 ,1245 
井の頭４丁目,1067 ,1076 ,2143 ,1166 
井の頭５丁目,1633 ,1647 ,3280 ,1735 
小計,7711 ,8190 ,15901 ,8974 
中原１丁目,2010 ,2223 ,4233 ,2183 
中原２丁目,1538 ,1615 ,3153 ,1483 
中原３丁目,1563 ,1683 ,3246 ,1577 
中原４丁目,2006 ,2117 ,4123 ,1949 
小計,7117 ,7638 ,14755 ,7192 
北野１丁目,751 ,800 ,1551 ,733 
北野２丁目,1073 ,1106 ,2179 ,984 
北野３丁目,1057 ,1024 ,2081 ,977 
北野４丁目,1020 ,1030 ,2050 ,1086 
小計,3901 ,3960 ,7861 ,3780 
新川１丁目,1074 ,1084 ,2158 ,1048 
新川２丁目,749 ,793 ,1542 ,755 
新川３丁目,1046 ,1071 ,2117 ,1089 
新川４丁目,1553 ,1691 ,3244 ,1649 
新川５丁目,1250 ,1331 ,2581 ,1394 
新川６丁目,2193 ,2114 ,4307 ,2558 
小計,7865 ,8084 ,15949 ,8493 
上連雀１丁目,1577 ,1568 ,3145 ,1855 
上連雀２丁目,1163 ,1222 ,2385 ,1413 
上連雀３丁目,944 ,919 ,1863 ,1088 
上連雀４丁目,1596 ,1579 ,3175 ,1697 
上連雀５丁目,1389 ,1394 ,2783 ,1468 
上連雀６丁目,1415 ,1577 ,2992 ,1582 
上連雀７丁目,1419 ,1504 ,2923 ,1443 
上連雀８丁目,1663 ,1767 ,3430 ,1622 
上連雀９丁目,1474 ,1579 ,3053 ,1473 
小計,12640 ,13109 ,25749 ,13641 
井口１丁目,1886 ,1888 ,3774 ,1814 
井口２丁目,1199 ,1315 ,2514 ,1146 
井口３丁目,1074 ,1222 ,2296 ,1100 
井口４丁目,1588 ,1627 ,3215 ,1574 
井口５丁目,441 ,493 ,934 ,480 
小計,6188 ,6545 ,12733 ,6114 
深大寺１丁目,931 ,984 ,1915 ,876 
深大寺２丁目,2167 ,1889 ,4056 ,2094 
深大寺３丁目,1107 ,1011 ,2118 ,1103 
小計,4205 ,3884 ,8089 ,4073 
野崎１丁目,487 ,515 ,1002 ,520 
野崎２丁目,1211 ,1234 ,2445 ,1225 
野崎３丁目,1179 ,1191 ,2370 ,1044 
野崎４丁目,340 ,293 ,633 ,278 
小計,3217 ,3233 ,6450 ,3067 
大沢１丁目,1390 ,1411 ,2801 ,1270 
大沢２丁目,941 ,928 ,1869 ,926 
大沢３丁目,859 ,948 ,1807 ,1006 
大沢４丁目,1432 ,1561 ,2993 ,1416 
大沢５丁目,1028 ,1034 ,2062 ,898 
大沢６丁目,747 ,746 ,1493 ,779 
小計,6397 ,6628 ,13025 ,6295 
合計,92567 ,97504 ,190071 ,96814 
令和５年11月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1454 ,1528 ,2982 ,1630 
下連雀２丁目,1670 ,1755 ,3425 ,1845 
下連雀３丁目,4865 ,5442 ,10307 ,6393 
下連雀４丁目,3023 ,3299 ,6322 ,3482 
下連雀５丁目,2722 ,3250 ,5972 ,2550 
下連雀６丁目,2181 ,2333 ,4514 ,2244 
下連雀７丁目,2414 ,2730 ,5144 ,2459 
下連雀８丁目,1682 ,1863 ,3545 ,1565 
下連雀９丁目,2297 ,2458 ,4755 ,1994 
小計,22308 ,24658 ,46966 ,24162 
牟礼１丁目,1045 ,1141 ,2186 ,1170 
牟礼２丁目,1815 ,2021 ,3836 ,2034 
牟礼３丁目,1184 ,1137 ,2321 ,1078 
牟礼４丁目,1584 ,1707 ,3291 ,1570 
牟礼５丁目,1364 ,1337 ,2701 ,1357 
牟礼６丁目,3076 ,3318 ,6394 ,2896 
牟礼７丁目,942 ,917 ,1859 ,910 
小計,11010 ,11578 ,22588 ,11015 
井の頭１丁目,2356 ,2545 ,4901 ,2824 
井の頭２丁目,1577 ,1725 ,3302 ,2017 
井の頭３丁目,1099 ,1216 ,2315 ,1248 
井の頭４丁目,1065 ,1076 ,2141 ,1165 
井の頭５丁目,1628 ,1648 ,3276 ,1731 
小計,7725 ,8210 ,15935 ,8985 
中原１丁目,2010 ,2226 ,4236 ,2188 
中原２丁目,1536 ,1616 ,3152 ,1484 
中原３丁目,1570 ,1677 ,3247 ,1575 
中原４丁目,2001 ,2111 ,4112 ,1944 
小計,7117 ,7630 ,14747 ,7191 
北野１丁目,758 ,804 ,1562 ,740 
