令和４年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1462 ,1530 ,2992 ,1612 
下連雀２丁目,1664 ,1736 ,3400 ,1825 
下連雀３丁目,4896 ,5475 ,10371 ,6382 
下連雀４丁目,2973 ,3230 ,6203 ,3416 
下連雀５丁目,2711 ,3230 ,5941 ,2549 
下連雀６丁目,2186 ,2345 ,4531 ,2247 
下連雀７丁目,2410 ,2713 ,5123 ,2419 
下連雀８丁目,1714 ,1892 ,3606 ,1581 
下連雀９丁目,2306 ,2427 ,4733 ,1981 
小計,22322 ,24578 ,46900 ,24012 
牟礼１丁目,1045 ,1127 ,2172 ,1168 
牟礼２丁目,1826 ,2019 ,3845 ,2030 
牟礼３丁目,1209 ,1144 ,2353 ,1101 
牟礼４丁目,1597 ,1672 ,3269 ,1558 
牟礼５丁目,1369 ,1344 ,2713 ,1359 
牟礼６丁目,3057 ,3314 ,6371 ,2861 
牟礼７丁目,952 ,917 ,1869 ,903 
小計,11055 ,11537 ,22592 ,10980 
井の頭１丁目,2341 ,2520 ,4861 ,2802 
井の頭２丁目,1572 ,1706 ,3278 ,1985 
井の頭３丁目,1053 ,1216 ,2269 ,1223 
井の頭４丁目,1064 ,1068 ,2132 ,1154 
井の頭５丁目,1651 ,1695 ,3346 ,1756 
小計,7681 ,8205 ,15886 ,8920 
中原１丁目,2039 ,2231 ,4270 ,2200 
中原２丁目,1556 ,1613 ,3169 ,1478 
中原３丁目,1523 ,1640 ,3163 ,1539 
中原４丁目,1995 ,2129 ,4124 ,1933 
小計,7113 ,7613 ,14726 ,7150 
北野１丁目,764 ,816 ,1580 ,752 
北野２丁目,1065 ,1089 ,2154 ,973 
北野３丁目,1060 ,1026 ,2086 ,961 
北野４丁目,1005 ,1014 ,2019 ,1065 
小計,3894 ,3945 ,7839 ,3751 
新川１丁目,1060 ,1080 ,2140 ,1038 
新川２丁目,757 ,800 ,1557 ,764 
新川３丁目,1045 ,1055 ,2100 ,1068 
新川４丁目,1577 ,1710 ,3287 ,1654 
新川５丁目,1232 ,1312 ,2544 ,1383 
新川６丁目,2217 ,2128 ,4345 ,2571 
小計,7888 ,8085 ,15973 ,8478 
上連雀１丁目,1577 ,1583 ,3160 ,1845 
上連雀２丁目,1162 ,1194 ,2356 ,1381 
上連雀３丁目,952 ,911 ,1863 ,1093 
上連雀４丁目,1609 ,1594 ,3203 ,1692 
上連雀５丁目,1373 ,1380 ,2753 ,1472 
上連雀６丁目,1398 ,1573 ,2971 ,1550 
上連雀７丁目,1438 ,1497 ,2935 ,1439 
上連雀８丁目,1688 ,1794 ,3482 ,1631 
上連雀９丁目,1492 ,1590 ,3082 ,1480 
