令和元年12月1日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,8,6,44,37,15,19,22,13,7,171
下連雀　　　,男,1,10,8,54,25,13,13,23,20,18,184
下連雀　　　,男,2,9,9,59,21,14,24,24,18,22,200
下連雀　　　,男,3,14,9,44,30,15,16,15,24,32,199
下連雀　　　,男,4,8,13,42,33,12,11,12,24,28,183
下連雀　　　,男,5,8,10,40,23,10,22,21,24,27,185
下連雀　　　,男,6,6,12,36,31,16,21,22,22,35,201
下連雀　　　,男,7,11,15,30,26,18,21,26,24,36,207
下連雀　　　,男,8,8,17,33,33,20,7,27,19,49,213
下連雀　　　,男,9,15,11,28,21,17,14,22,30,34,192
下連雀　　　,男,10,9,12,27,22,11,25,26,32,38,202
下連雀　　　,男,11,11,10,41,22,16,13,21,23,40,197
下連雀　　　,男,12,17,12,28,19,22,15,26,17,31,187
下連雀　　　,男,13,15,11,20,20,25,13,21,15,30,170
下連雀　　　,男,14,12,11,22,23,24,8,19,24,41,184
下連雀　　　,男,15,15,9,18,17,24,20,24,20,28,175
下連雀　　　,男,16,13,9,17,20,26,29,25,24,23,186
下連雀　　　,男,17,15,15,24,12,34,21,27,15,34,197
下連雀　　　,男,18,12,11,22,19,25,18,21,17,20,165
下連雀　　　,男,19,12,17,34,32,18,21,22,16,27,199
下連雀　　　,男,20,12,19,37,25,18,21,25,20,27,204
下連雀　　　,男,21,19,12,29,33,26,37,29,19,17,221
下連雀　　　,男,22,14,12,48,37,16,25,24,17,21,214
下連雀　　　,男,23,16,17,55,45,18,37,28,21,16,253
下連雀　　　,男,24,14,23,49,42,14,33,18,27,16,236
下連雀　　　,男,25,21,26,78,38,9,32,19,17,22,262
下連雀　　　,男,26,18,22,65,43,17,17,13,18,10,223
下連雀　　　,男,27,23,33,91,44,8,24,20,20,12,275
下連雀　　　,男,28,13,21,83,52,13,22,16,15,13,248
下連雀　　　,男,29,20,19,87,33,23,22,24,13,8,249
下連雀　　　,男,30,28,22,89,37,12,23,26,17,18,272
下連雀　　　,男,31,25,24,80,50,8,30,32,20,12,281
下連雀　　　,男,32,34,22,87,45,11,16,39,10,10,274
下連雀　　　,男,33,18,27,93,55,16,25,30,17,21,302
下連雀　　　,男,34,14,18,90,55,14,26,35,20,25,297
下連雀　　　,男,35,25,24,94,43,23,24,26,28,18,305
下連雀　　　,男,36,27,31,111,47,16,19,46,22,20,339
下連雀　　　,男,37,15,37,88,45,18,29,33,23,26,314
下連雀　　　,男,38,23,30,76,38,16,27,36,17,36,299
下連雀　　　,男,39,17,26,106,51,20,38,33,28,42,361
下連雀　　　,男,40,21,23,83,44,13,33,35,30,45,327
下連雀　　　,男,41,19,36,89,60,27,28,37,26,59,381
下連雀　　　,男,42,21,24,86,66,30,26,31,38,39,361
下連雀　　　,男,43,28,27,104,50,24,35,33,30,54,385
下連雀　　　,男,44,22,30,86,57,23,29,43,41,53,384
下連雀　　　,男,45,20,26,89,59,28,30,41,32,62,387
下連雀　　　,男,46,38,37,88,55,29,28,39,43,48,405
下連雀　　　,男,47,15,19,83,60,47,38,49,31,53,395
下連雀　　　,男,48,24,26,82,68,38,36,47,39,53,413
下連雀　　　,男,49,28,26,99,51,38,29,48,28,61,408
下連雀　　　,男,50,24,30,83,45,55,41,36,24,50,388
下連雀　　　,男,51,31,19,83,44,34,25,48,43,40,367
下連雀　　　,男,52,34,23,83,42,40,23,44,41,50,380
下連雀　　　,男,53,17,16,64,43,22,36,32,22,29,281
下連雀　　　,男,54,24,28,99,55,45,33,38,37,40,399
下連雀　　　,男,55,16,29,71,49,34,39,48,35,34,355
下連雀　　　,男,56,12,16,68,38,34,33,41,22,34,298
下連雀　　　,男,57,15,24,59,40,35,32,36,28,22,291
下連雀　　　,男,58,20,20,63,45,22,20,32,20,19,261
下連雀　　　,男,59,23,17,57,36,24,29,26,18,24,254
下連雀　　　,男,60,17,24,62,44,28,28,38,25,25,291
