令和3年10月1日現在,,,,,,,,,,,,
町丁目,性別,年齢,１丁目,２丁目,３丁目,４丁目,５丁目,６丁目,７丁目,８丁目,９丁目,計
下連雀　　　,男,0,10,6,52,20,45,27,18,8,11,197
下連雀　　　,男,1,11,7,39,26,47,16,25,16,13,200
下連雀　　　,男,2,10,4,47,28,43,31,23,18,17,221
下連雀　　　,男,3,5,9,44,25,49,20,29,18,14,213
下連雀　　　,男,4,9,13,53,14,42,29,17,16,24,217
下連雀　　　,男,5,10,11,42,39,45,23,17,23,28,238
下連雀　　　,男,6,7,11,34,26,23,19,15,26,27,188
下連雀　　　,男,7,10,12,50,24,32,30,20,23,31,232
下連雀　　　,男,8,9,13,36,32,29,23,17,22,34,215
下連雀　　　,男,9,13,15,34,26,20,22,29,24,40,223
下連雀　　　,男,10,8,10,32,26,20,13,23,19,45,196
下連雀　　　,男,11,17,12,34,20,20,13,24,29,39,208
下連雀　　　,男,12,8,13,23,30,12,24,24,29,32,195
下連雀　　　,男,13,13,12,42,18,22,11,25,19,46,208
下連雀　　　,男,14,14,10,21,23,29,23,26,20,28,194
下連雀　　　,男,15,15,13,22,19,28,14,23,15,37,186
下連雀　　　,男,16,12,12,19,21,28,10,19,26,34,181
下連雀　　　,男,17,11,13,16,19,26,18,26,16,24,169
下連雀　　　,男,18,17,10,17,18,29,28,30,24,25,198
下連雀　　　,男,19,9,13,35,16,34,28,23,13,29,200
下連雀　　　,男,20,15,12,37,24,24,29,26,19,24,210
下連雀　　　,男,21,10,24,31,34,21,17,23,19,28,207
下連雀　　　,男,22,16,22,67,31,24,20,22,24,23,249
下連雀　　　,男,23,27,17,68,32,27,31,20,23,13,258
下連雀　　　,男,24,17,21,69,40,16,25,26,23,17,254
下連雀　　　,男,25,21,24,75,47,21,28,19,25,15,275
下連雀　　　,男,26,23,30,77,46,14,31,28,21,15,285
下連雀　　　,男,27,27,24,84,39,12,27,19,17,17,266
下連雀　　　,男,28,17,23,75,57,23,19,14,16,8,252
下連雀　　　,男,29,21,27,95,60,28,28,18,13,18,308
下連雀　　　,男,30,15,25,98,45,39,24,19,14,13,292
下連雀　　　,男,31,23,21,96,38,38,32,23,9,14,294
下連雀　　　,男,32,18,21,77,43,45,23,27,15,11,280
下連雀　　　,男,33,25,17,79,40,50,31,36,16,8,302
下連雀　　　,男,34,29,20,91,47,52,21,40,13,16,329
下連雀　　　,男,35,16,27,80,67,45,35,29,15,22,336
下連雀　　　,男,36,20,20,87,44,51,38,31,17,21,329
