令和４年12月１日現在,,,
年齢,男,女　,合計
0,616 ,599 ,1215 
1,712 ,626 ,1338 
2,688 ,712 ,1400 
3,767 ,675 ,1442 
4,856 ,750 ,1606 
5,799 ,773 ,1572 
6,911 ,855 ,1766 
7,875 ,829 ,1704 
8,874 ,827 ,1701 
9,887 ,829 ,1716 
10,827 ,793 ,1620 
11,908 ,827 ,1735 
12,820 ,836 ,1656 
13,859 ,830 ,1689 
14,857 ,793 ,1650 
15,794 ,740 ,1534 
16,787 ,795 ,1582 
17,811 ,756 ,1567 
18,808 ,781 ,1589 
19,866 ,837 ,1703 
20,996 ,954 ,1950 
21,941 ,1042 ,1983 
22,1057 ,1103 ,2160 
23,1192 ,1179 ,2371 
24,1241 ,1182 ,2423 
25,1175 ,1215 ,2390 
26,1187 ,1178 ,2365 
27,1131 ,1103 ,2234 
28,1157 ,1128 ,2285 
29,1120 ,1092 ,2212 
30,1166 ,1119 ,2285 
31,1092 ,1065 ,2157 
32,1083 ,1087 ,2170 
33,1132 ,1089 ,2221 
34,1231 ,1278 ,2509 
35,1200 ,1172 ,2372 
36,1277 ,1242 ,2519 
37,1311 ,1334 ,2645 
38,1357 ,1395 ,2752 
39,1431 ,1330 ,2761 
40,1400 ,1344 ,2744 
41,1406 ,1409 ,2815 
42,1432 ,1395 ,2827 
43,1460 ,1473 ,2933 
44,1515 ,1539 ,3054 
45,1454 ,1517 ,2971 
46,1471 ,1543 ,3014 
47,1518 ,1505 ,3023 
48,1558 ,1615 ,3173 
49,1699 ,1642 ,3341 
50,1603 ,1643 ,3246 
51,1653 ,1630 ,3283 
52,1563 ,1602 ,3165 
53,1604 ,1583 ,3187 
54,1517 ,1518 ,3035 
55,1505 ,1526 ,3031 
56,1144 ,1163 ,2307 
57,1559 ,1445 ,3004 
58,1414 ,1225 ,2639 
59,1249 ,1242 ,2491 
60,1214 ,1190 ,2404 
61,1117 ,1048 ,2165 
62,1012 ,1074 ,2086 
63,1060 ,992 ,2052 
64,946 ,954 ,1900 
65,864 ,907 ,1771 
66,856 ,900 ,1756 
67,767 ,861 ,1628 
68,855 ,856 ,1711 
69,830 ,896 ,1726 
70,832 ,878 ,1710 
71,915 ,949 ,1864 
72,950 ,1039 ,1989 
73,1050 ,1172 ,2222 
74,1028 ,1255 ,2283 
75,957 ,1197 ,2154 
76,633 ,767 ,1400 
77,585 ,743 ,1328 
78,723 ,917 ,1640 
79,681 ,918 ,1599 
80,644 ,904 ,1548 
81,629 ,895 ,1524 
82,538 ,809 ,1347 
83,419 ,746 ,1165 
84,434 ,668 ,1102 
85,423 ,715 ,1138 
86,379 ,723 ,1102 
87,347 ,601 ,948 
88,282 ,561 ,843 
89,256 ,471 ,727 
90,233 ,515 ,748 
