階層コード,地域コード,地域,人口総数／平成27年2月１日,人口総数／平成27年１月１日,人口総数／平成26年2月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13300419,13297586,13205631,2833,0.02,94788,0.72
1,13100,区部,9106677,9102598,9020664,4079,0.04,86013,0.95
1,13200,市部,4108077,4109189,4098687,-1112,-0.03,9390,0.23
1,13300,郡部,58686,58760,58955,-74,-0.13,-269,-0.46
1,13350,島部,26979,27039,27325,-60,-0.22,-346,-1.27
,,,,,,,,,
住民基本台帳による世帯と人口_平成27年2月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
