階層コード,地域コード,地域,人口総数／平成27年12月１日,人口総数／平成27年11月１日,人口総数／平成26年12月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13414609,13411812,13298118,2797,0.02,116491,0.88
1,13100,区部,9204857,9202005,9103040,2852,0.03,101817,1.12
1,13200,市部,4124294,4124320,4109255,-26,0,15039,0.37
1,13300,郡部,58650,58653,58748,-3,-0.01,-98,-0.17
1,13350,島部,26808,26834,27075,-26,-0.1,-267,-0.99
,,,,,,,,,
住民基本台帳による世帯と人口_平成27年12月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
