階層コード,地域コード,地域,人口総数／平成27年１月１日,人口総数／平成26年12月１日,人口総数／平成26年１月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13297586,13298118,13202041,-532,0,95545,0.72
1,13100,区部,9102598,9103040,9016342,-442,0,86256,0.96
1,13200,市部,4109189,4109255,4099405,-66,0,9784,0.24
1,13300,郡部,58760,58748,58956,12,0.02,-196,-0.33
1,13350,島部,27039,27075,27338,-36,-0.13,-299,-1.09
,,,,,,,,,
住民基本台帳による世帯と人口_平成27年１月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
