階層コード,地域コード,地域,人口総数／平成27年9月１日,人口総数／平成27年8月１日,人口総数／平成26年9月１日,前月との比較／増減数,前月との比較／増減率（％）,前年同月との比較／増減数,前年同月との比較／増減率（％）
0,13000,総数,13390042,13388850,13278550,1192,0.01,111492,0.84
1,13100,区部,9182547,9180543,9085688,2004,0.02,96859,1.07
1,13200,市部,4121972,4122774,4107092,-802,-0.02,14880,0.36
1,13300,郡部,58656,58666,58666,-10,-0.02,-10,-0.02
1,13350,島部,26867,26867,27104,0,0,-237,-0.87
,,,,,,,,,
住民基本台帳による世帯と人口_平成27年9月,,,,,,,,,
＜参考＞前月及び前年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
