"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","発生日","旧名称","緯度","経度"
"202406","オーロラ鍼灸マッサージ治療院品川・港区店","東京都港区白金台五丁目10番16号","ブライズ白金台403",,"2024/6/24","オーロラマッサージ院品川・港区店","35.641960","139.719965"
"202406","白金台睡眠治療鍼灸院","東京都港区白金台三丁目2番16号","カーサデ・ベンターナ102","03-5860-2650","2024/6/24","みやび鍼灸院","35.637691","139.727346"

"施術所（あはき）名称変更一覧(令和6年6月30日現在)","Ver202406",,,,,,,
