年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成25,2013,総数,Total,103446,52017,51429,926,76539,25981
平成26,2014,総数,Total,104787,53007,51780,927,78236,25624
平成27,2015,総数,Total,104164,52746,51418,934,78168,25062
平成27,2015,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,102570,51824,50746,928,76768,24874
平成27,2015,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,96270,47996,48274,926,70643,24701
平成27,2015,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3225,1839,1386,-,3200,25
平成27,2015,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1502,861,641,2,1370,130
平成27,2015,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,-,-,-,-,-,-
平成27,2015,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成27,2015,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成27,2015,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成27,2015,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,482,404,78,-,473,9
平成27,2015,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1079,716,363,-,1070,9
平成27,2015,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,12,8,4,-,12,-
平成27,2015,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),397,222,175,-,354,43
平成27,2015,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,192,87,105,-,188,4
平成27,2015,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,29,27,2,-,29,-
平成27,2015,(E)就職者,(E)Employed,259,205,54,1,258,-
平成27,2015,(F)上記以外の者,(F)Persons other than the above,708,378,330,5,565,138
平成27,2015,(G)不詳・死亡,(G)Unknown or deceased,9,3,6,-,6,3
平成27,2015,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,44,35,9,-,43,1
平成27,2015,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,43,34,9,-,42,1
平成27,2015,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,-,-,-,-,-,-
平成27,2015,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-
平成27,2015,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,1,1,-,-,1,-
平成27,2015,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4219,2886,1333,53,3727,439
,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成25～27年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2013-2015 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
