年次,Year,総数 Total／出願件数 Number of applications,総数 Total／登録件数 Number of registrations,特許 Patents／出願件数 Number of applications,特許 Patents／登録件数 Number of registrations,実用新案 Utility models／出願件数 Number of applications,実用新案 Utility models／登録件数 Number of registrations,意匠 Designs／出願件数 Number of applications,意匠 Designs／登録件数 Number of registrations,商標 Trademarks／出願件数 Number of applications,商標 Trademarks／登録件数 Number of registrations
平成25,2013,191705,166441,139603,117970,1535,1488,9499,9138,41068,37845
平成26,2014,187891,140700,135592,94713,1363,1319,9239,8487,41697,36181
平成27,2015,187963,119843,132521,76159,1320,1321,9137,8138,44985,34225
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-15  産業財産権 (平成25～27年) 17-15  INDUSTRIAL PROPERTY RIGHTS ( 2013-2015 ),,,,,,,,,,,
資料：特許庁「特許行政年次報告書」(ホームページ) Source: Japan Patent Office,,,,,,,,,,,
