男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9,10.7,12.6,14.6,16.7,19.5,23.1,28.4,33.6,37.2,39.7,41.5,37.2,39.6,40.9,42.2
男 ,Male,上体起こし (回) ,Sit-ups (times),,10.8,13.6,15.9,18.1,19.8,21.9,23.8,27,29.5,29.3,30.7,31.4,24.4,24.2,25,24.2
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.7,27.3,29.6,31.5,33.6,35.8,37.6,41.1,44.8,45,47.2,48.5,42.2,43,43.4,42.2
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.2,30.3,33.8,37.9,41.7,45,48.4,51.5,54.2,54.9,56.3,57.2,48.3,49,49.4,47.4
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,427,389.1,372.9,389.9,378.9,378.2,446.5,458.6,443.9,457.4
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,16.5,25.8,34.7,43.1,50.6,58.5,66.8,83,90,84.7,93,94,58.1,61.2,64.2,54.7
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10,9.6,9.2,8.9,8.6,8,7.6,7.5,7.4,7.3,7.8,7.7,7.6,7.7
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,110.2,121.7,132.5,141.8,150.9,161.6,175.7,192,206.5,215,221.9,226.4,204.7,210.1,211.4,212
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.5,11,14.8,18.5,21.9,25.5,17.3,20.1,22.8,23.6,24.8,25.8,21.8,22.3,23.4,23.3
女,Female,握力 (kg) ,Grip strength (kg),,8.4,10.1,11.8,13.8,16.2,19.2,21.2,23.4,24.6,25.2,25.9,26.5,24.3,25.1,25.4,26
女,Female,上体起こし (回) ,Sit-ups (times),,10.4,13.2,15.3,17.3,18.8,20.1,20.7,23.2,24.2,23.4,23.7,23.7,17.7,17.5,17.8,17.2
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.3,30.6,33.3,35.6,38.2,41.1,42,44.2,45.9,45.6,46.4,46.8,42,42.3,43.3,41.7
女,Female,反復横とび (点) ,Side step (points)　　,,25.2,28.8,32.3,36.1,39.8,42.3,44.5,46.1,46.7,47.2,47.4,47.7,41.2,40.8,41.2,39.4
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,306.9,290.2,290.2,307.4,307,311.3,367.6,379.2,373.9,382
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,13.9,19.9,25.7,32.2,39.1,44.4,48.3,55.3,55.6,50.4,53.9,54.4,30.6,31.3,33.8,27.7
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.3,9.9,9.5,9.1,9.1,8.8,8.7,8.9,8.9,8.9,9.5,9.6,9.6,9.8
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,103.1,114,125.1,134.8,144.2,152.8,160,164.9,167.7,167.9,169.7,170.1,151.6,152.3,151.5,146.2
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.2,6.9,8.9,10.9,12.9,14.7,10.8,12.2,13,13.2,13.5,13.9,11.4,11.6,12,12.1
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成27年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( 2015 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
