年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員 Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成25,2013,315,625734,350401,331702,152,18547,-,275333,1986
平成26,2014,311,723879,499537,484119,100,15317,1,224342,2328
平成27,2015,314,703791,486441,470839,192,15408,2,217350,2241
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (5) 神代植物公園 (平成25～平成27年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (5) JINDAI BOTANICAL PARK ( Fiscal Years 2013-2015 ),,,,,,,,,,
資料：公益財団法人東京都公園協会神代植物公園 Source: Tokyo Metropolitan Jindai Botanical Park,,,,,,,,,,
