年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員 Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成25,2013,316,726760,390786,379384,483,10878,41,335974,2300
平成26,2014,318,795865,425755,408570,542,16532,111,370110,2503
平成27,2015,316,897027,479367,463326,661,15234,146,417660,2839
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS,,,,,,,,,,
17-18  東京都立動物園等の状況 (3) 井の頭自然文化園 (平成25～27年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (3) INOKASHIRA PARK ZOO ( Fiscal Years 2013-2015 ),,,,,,,,,,
資料：公益財団法人東京動物園協会井の頭自然文化園  Source: Tokyo Zoological Park Society Inokashira Park Zoo,,,,,,,,,,
