年度,Fiscal year,開館日数 Number of open days,企画展 Special exhibition／展覧会数 Number of Exhibition,企画展 Special exhibition／観覧人員 Visitors,公募展 Exhibition(Artist association)／展覧会数 Number of Exhibition,公募展 Exhibition(Artist association)／観覧人員 Visitors,収蔵品数(年度末) Number of items(end of fiscal year)／総数 Total,収蔵品数(年度末) Number of items(end of fiscal year)／図書 Books,収蔵品数(年度末) Number of items(end of fiscal year)／カタログ Exhibition Catalog,収蔵品数(年度末) Number of items(end of fiscal year)／雑誌 Periodicals
平成25,2013,302,10,822815,69,1205249,133060,37421,92766,2873
平成26,2014,304,9,1426433,69,1193917,138979,39749,96320,2910
平成27,2015,305,9,1097902,69,1194428,145057,41527,100475,3055
,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-11  国立博物館及び美術館 (4) 国立新美術館 (平成25～27年度)  17-11  NATIONAL MUSEUM (4) THE NATIONAL ART CENTER， TOKYO ( Fiscal Year 2013-2015 ),,,,,,,,,,
注 1) 「雑誌」数はタイトル数であり，「紀要・年報」を含む。,,,,,,,,,,
Note: 1) The number of periodical titles. Figures also include bulletins and annual reports.,,,,,,,,,,
資料：国立新美術館 Source: The National Art Center， Tokyo,,,,,,,,,,
