国公立図書館階層,区分,Classification,館数 Number of libraries,資料費( 平成27年度予算 ) Materials expenditure ( FY2015 budget )( 千円 thousand yen ),蔵書数 Number of books,館外貸出図書点数 (年度中) Number of books lent out ( during the fiscal year )
0,総数,Total,388,6834437,59523668,113939283
1,国立国会図書館,National Diet Library,1,2331762,10751931,50470
2,東京本館,Tokyo Main Library,-,…,6571241,17096
2,国会分館,Detached Library in the Diet,-,…,-,18289
2,関西館,Kansai-kan,-,…,3752166,3013
2,国際子ども図書館,International Library of  Children's Literature,-,…,377609,12072
1,都立,Metropolitan,2,321967,2488288,-
2,中央,Central,1,…,1977898,-
2,多摩,Tama,1,…,510390,-
1,区市町村立,Municipal,385,4180708,46283449,113888813
2,千代田区,Chiyoda-ku,5,76287,525513,991195
2,中央区,Chuo-ku,3,58890,594726,1590301
2,港区,Minato-ku,7,144378,1026407,2382336
2,新宿区,Shinjuku-ku,10,136420,906819,2468172
2,文京区,Bunkyo-ku,10,106854,1128548,3943639
2,台東区,Taito-ku,4,66526,598223,1694625
2,墨田区,Sumida-ku,4,66763,551429,1429360
2,江東区,Koto-ku,10,184146,1508064,5051320
2,品川区,Shinagawa-ku,10,63397,1049921,3111034
2,目黒区,Meguro-ku,8,80816,1167758,4391555
2,大田区,Ota-ku,16,226892,1819848,5522867
2,世田谷区,Setagaya-ku,16,184835,1866549,6376198
2,渋谷区,Shibuya-ku,10,65808,824788,1640523
2,中野区,Nakano-ku,8,78383,978589,2099657
2,杉並区,Suginami-ku,13,190945,2232489,4615942
2,豊島区,Toshima-ku,7,74396,737251,2126647
2,北区,Kita-ku,14,184815,1340237,4042982
2,荒川区,Arakawa-ku,5,79243,719531,1901811
2,板橋区,Itabashi-ku,11,81009,1400514,3298527
2,練馬区,Nerima-ku,13,225931,1737844,6627694
2,足立区,Adachi-ku,15,134270,1670815,3409209
2,葛飾区,Katsushika-ku,12,130223,1312887,3411665
2,江戸川区,Edogawa-ku,12,203593,1485298,5569453
2,八王子市,Hachioji-shi,5,70960,1625298,2706484
2,立川市,Tachikawa-shi,9,74237,897879,1679116
2,武蔵野市,Musashino-shi,3,93677,880970,2447925
2,三鷹市,Mitaka-shi,6,73735,720201,1491884
2,青梅市,Ome-shi,12,43532,592430,929799
2,府中市,Fuchu-shi,13,105101,1438010,2318763
2,昭島市,Akishima-shi,5,33531,426713,658221
2,調布市,Chofu-shi,11,93367,1336656,2691024
2,町田市,Machida-shi,8,40931,1154494,4285185
2,小金井市,Koganei-shi,3,47290,443345,941853
2,小平市,Kodaira-shi,11,57590,1175255,1573185
2,日野市,Hino-shi,7,64822,805663,1658153
2,東村山市,Higashimurayama-shi,5,38317,699257,1109926
2,国分寺市,Kokubunji-shi,6,27539,604168,957912
2,国立市,Kunitachi-shi,2,26300,266910,457706
2,福生市,Fussa-shi,4,25386,438144,655933
2,狛江市,Komae-shi,1,21707,293149,522336
2,東大和市,Higashiyamato-shi,3,55294,470952,743015
2,清瀬市,Kiyose-shi,6,23354,407613,589503
2,東久留米市,Higashikurume-shi,4,36842,464399,898901
2,武蔵村山市,Musashimurayama-shi,2,22358,308157,348509
2,多摩市,Tama-shi,8,56136,730418,1718820
2,稲城市,Inagi-shi,6,41274,606683,1231216
2,羽村市,Hamura-shi,1,19036,390620,339730
2,あきる野市,Akiruno-shi,4,38310,560071,698263
2,西東京市,Nishitokyo-shi,7,72055,804696,2280593
2,瑞穂町,Mizuho-machi,1,16902,222021,114989
2,日の出町,Hinode-machi,1,3684,113405,46692
2,奥多摩町,Okutama-machi,2,3319,76783,25788
2,檜原村,Hinohara-mura,1,2839,39283,12287
2,大島町,Oshima-machi,1,500,38148,6465
2,神津島村,Kozushima-mura,1,2288,12916,8451
2,三宅村,Miyake-mura,1,812,13948,5192
2,八丈町,Hachijo-machi,1,2792,30746,37802
2,青ヶ島村,Aogashima-mura,1,71,10000,480
,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (1) 設立及び地域別施設状況 (平成27年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (1) STATUS OF FACILITIES BY ESTABLISHMENT AND DISTRICT ( End of Fiscal Year 2015 ),,,,,,
注 1) 国立国会図書館の蔵書，館外貸出図書冊数には関西館の数を含む。　,,,,,,
2) 国立国会図書館東京本館の蔵書数は国会分館の蔵書数を含む。,,,,,,
3) 国立国会図書館の蔵書数と各施設の蔵書数の合計については一致しない。　 ,,,,,,
4) 都立及び区市町村立の館外貸出図書数は個人への貸出のみ。,,,,,,
Note: 1) The numbers of books stocked and loaned at the Kansai-kan are included in figures for the National Diet Library. ,,,,,,
2) The number of books stocked at the Detached Library in the Diet is included in figures for the Tokyo Main Library of the National Diet Library.,,,,,,
3) The number of books stocked at the National Diet Library does not match the combined total of books at the National Diet Library facilities. ,,,,,,
4) The numbers of books loaned at metropolitan and municipal libraries are for loans to individuals only. ,,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
国公立図書館階層(0:総数　1:国立国会図書館・都立・区市町村立　2:東京本館・国会分館・関西館・国際子ども図書館・中央・多摩・区市町村),,,,,,
