年度,Fiscal year,学校区分 ,School types,総数 Total,陸上競技場 Athletic field,野球・ソフトボール場 Baseball and softball field,球技場 Ball field,多目的運動広場 Multipurpose sports field,水泳プール Swimming pool,体育館 Gymnasium,柔道場 Judo hall,剣道場 Kendo hall,柔剣道場 Judo and kendo hall,バレーボール場 Volleyball court,庭球場 Tennis court,バスケットボール場 Basketball court,すもう場 Sumo ring,卓球場 Ping-pong court,弓道場 Japanese archery range,トレーニング場 Physical training facility,ダンス場 Dance studio,ゴルフ場 Golf course,ゴルフ練習場 Golf driving range,ゲートボール・クロッケー場 Gateball and croquet court,キャンプ場 Camping site,冒険遊具コース Athletic course,その他 Others
平成20,2008,総数,Total,12162,94,644,191,2350,2546,2717,320,233,221,29,1013,90,37,98,104,464,184,22,110,86,58,5,546
平成20,2008,小・中・高・専修・各種学校,Elementary schools， junior， senior high schools， specialized training schools and miscellaneous schools,7286,4,4,2,2097,2075,2120,156,112,144,11,353,71,10,27,15,65,3,-,-,-,-,3,14
平成20,2008,高専・大学,Colleges of technology， Colleges and universities,1050,35,39,41,92,71,234,44,37,36,11,153,11,10,30,27,69,7,-,12,-,-,-,91
平成20,2008,公共,Public,2082,45,548,113,113,202,243,48,49,15,-,243,1,14,15,53,108,4,1,1,84,30,2,150
平成20,2008,職場,Welfare facilities of company,558,8,42,22,43,26,81,35,19,23,7,143,7,3,16,3,57,3,-,4,2,-,-,14
平成20,2008,民間,Private,1186,2,11,13,5,172,39,37,16,3,-,121,-,-,10,6,165,167,21,93,-,28,-,277
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-16  スポーツ施設数 (平成20年度) 17-16  SPORTS FACILITIES ( Fiscal Year 2008 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：文部科学省「体育・スポーツ施設現況調査」(ホームページ) Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
