年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／常設展 Permanent exhibitions,観覧人員 Visitors／特別展 Special exhibition,観覧人員 Visitors／たてもの園 Edo-Tokyo Open-Air Architectural Museum,収蔵品数(年度末)  The number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末)  The number of collection items (end of fiscal year)／標本 Specimens,収蔵品数(年度末)  The number of collection items (end of fiscal year)／図書 Books,収蔵品数(年度末)  The number of collection items (end of fiscal year)／映像・音響 Audio-visual materials,たてもの園建造物棟数(年度末)  Edo-Tokyo Open-Air Architectural Museum Reconstructed building (end of fiscal year)
平成23,2011,296,1405284,709566,494464,201254,565141,306525,220655,37961,29
平成24,2012,317,1348371,770856,354046,223469,578186,310594,225866,41726,30
平成25,2013,313,1568184,839756,493167,235261,585106,312142,230995,41969,30
平成26,2014,253,1477126,588484,386485,502157,592659,314853,235820,41986,30
平成27,2015,313,1876205,996928,632230,247047,602500,319665,240788,42047,30
,,,,,,,,,,,
東京都統計年鑑（平成27年）TOKYO STATISTICAL YEARBOOK ( 2015 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (4) 東京都江戸東京博物館 (平成23～27年度) 17-12  TOKYO METROPOLITAN MUSEUMS (4) TOKYO METROPOLITAN EDO-TOKYO MUSEUM ( Fiscal Years 2011-2015 ),,,,,,,,,,,
注 1) 「開館日数」欄は，本館の開館日数である。,,,,,,,,,,,
2) 平成23年3月11日に発生した東日本大震災に伴い，本館は3月12日から4月30日まで(企画展のみ4月28日)，たてもの園は3月12，13，15日を臨時休館とした。,,,,,,,,,,,
3) 平成26年12月1日から平成27年3月27日まで，常設展示室はリニューアル改修工事のため閉室した。,,,,,,,,,,,
"Note: 1) ""Number of open days"" refers to days the main building was open.",,,,,,,,,,,
2) Following the March 11， 2011 earthquake， the main building was closed from March 12 -April 30 ( April 28 for special exhibition only )  and the Open-Air Museum was closed on March 12， 13， and 15.,,,,,,,,,,,
3) The Permanent Exhibition Area was closed from December 1， 2014， to March 27， 2015， for renovations.,,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture　　,,,,,,,,,,,
