"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2004120101,"芝浦",,16,32,48,8,,,,21,,,,,,
2004120102,"芝浦",,22,38,60,4,,,,21,,,,,,
2004120103,"芝浦",,12,34,46,5,,,,13,,,,,,
2004120104,"芝浦",,13,34,47,4,,,,15,,,,,,
2004120105,"芝浦",,11,31,42,5,,,,15,,,,,,
2004120106,"芝浦",,22,34,56,2,,,,15,,,,,,
2004120107,"芝浦",,34,34,68,2,,,,17,,,,,,
2004120108,"芝浦",,49,35,84,3,,,,20,,,,,,
2004120109,"芝浦",,68,36,104,3,,,,33,,,,,,
2004120110,"芝浦",,77,41,118,4,,,,37,,,,,,
2004120111,"芝浦",,71,46,117,6,,,,28,,,,,,
2004120112,"芝浦",,45,41,86,12,,,,16,,,,,,
2004120113,"芝浦",,38,42,80,12,,,,34,,,,,,
2004120114,"芝浦",,51,40,91,15,,,,21,,,,,,
2004120115,"芝浦",,25,40,65,15,,,,21,,,,,,
2004120116,"芝浦",,127,59,186,6,,,,42,,,,,,
2004120117,"芝浦",,146,66,212,2,,,,57,,,,,,
2004120118,"芝浦",,113,65,178,2,,,,51,,,,,,
2004120119,"芝浦",,84,64,148,2,,,,52,,,,,,
2004120120,"芝浦",,98,66,164,2,,,,66,,,,,,
2004120121,"芝浦",,116,67,183,2,,,,53,,,,,,
2004120122,"芝浦",,85,58,143,2,,,,65,,,,,,
2004120123,"芝浦",,95,56,151,2,,,,50,,,,,,
2004120124,"芝浦",,67,48,115,2,,,,38,,,,,,
2004120201,"芝浦",,63,46,109,2,,,,30,,,,,,
2004120202,"芝浦",,71,42,113,2,,,,33,,,,,,
2004120203,"芝浦",,60,38,98,2,,,,37,,,,,,
2004120204,"芝浦",,42,36,78,2,,,,32,,,,,,
2004120205,"芝浦",,14,33,47,4,,,,20,,,,,,
2004120206,"芝浦",,9,28,37,11,,,,20,,,,,,
2004120207,"芝浦",,13,32,45,9,,,,15,,,,,,
2004120208,"芝浦",,26,34,60,10,,,,19,,,,,,
2004120209,"芝浦",,45,37,82,10,,,,24,,,,,,
2004120210,"芝浦",,20,25,45,20,,,,12,,,,,,
2004120211,"芝浦",,17,21,38,23,,,,7,,,,,,
2004120212,"芝浦",,20,26,46,22,,,,13,,,,,,
2004120213,"芝浦",,20,23,43,25,,,,31,,,,,,
2004120214,"芝浦",,17,24,41,25,,,,16,,,,,,
2004120215,"芝浦",,9998,9998,9998,9998,,,,8,,,,,,
2004120216,"芝浦",,9998,9998,9998,16,,,,24,,,,,,
2004120217,"芝浦",,27,39,66,9,,,,24,,,,,,
2004120218,"芝浦",,27,41,68,8,,,,22,,,,,,
2004120219,"芝浦",,26,40,66,7,,,,17,,,,,,
2004120220,"芝浦",,24,41,65,5,,,,28,,,,,,
2004120221,"芝浦",,26,42,68,4,,,,25,,,,,,
2004120222,"芝浦",,25,39,64,6,,,,23,,,,,,
2004120223,"芝浦",,17,36,53,8,,,,19,,,,,,
2004120224,"芝浦",,19,37,56,6,,,,25,,,,,,
2004120301,"芝浦",,10,32,42,7,,,,20,,,,,,
2004120302,"芝浦",,36,39,75,2,,,,22,,,,,,
2004120303,"芝浦",,41,38,79,2,,,,22,,,,,,
2004120304,"芝浦",,60,38,98,2,,,,31,,,,,,
2004120305,"芝浦",,64,37,101,2,,,,31,,,,,,
2004120306,"芝浦",,60,36,96,2,,,,34,,,,,,
2004120307,"芝浦",,55,35,90,2,,,,23,,,,,,
2004120308,"芝浦",,75,38,113,3,,,,19,,,,,,
2004120309,"芝浦",,89,40,129,3,,,,25,,,,,,
2004120310,"芝浦",,84,43,127,4,,,,37,,,,,,
2004120311,"芝浦",,195,60,255,3,,,,38,,,,,,
2004120312,"芝浦",,249,72,321,2,,,,72,,,,,,
2004120313,"芝浦",,255,83,338,2,,,,91,,,,,,
2004120314,"芝浦",,151,75,226,3,,,,78,,,,,,
2004120315,"芝浦",,156,65,221,4,,,,60,,,,,,
2004120316,"芝浦",,27,41,68,11,,,,33,,,,,,
2004120317,"芝浦",,30,50,80,6,,,,36,,,,,,
2004120318,"芝浦",,17,49,66,7,,,,35,,,,,,
2004120319,"芝浦",,76,60,136,3,,,,65,,,,,,
2004120320,"芝浦",,101,72,173,2,,,,103,,,,,,
2004120321,"芝浦",,90,72,162,2,,,,98,,,,,,
2004120322,"芝浦",,54,61,115,2,,,,99,,,,,,
2004120323,"芝浦",,69,61,130,2,,,,105,,,,,,
2004120324,"芝浦",,69,55,124,2,,,,86,,,,,,
2004120401,"芝浦",,141,59,200,2,,,,89,,,,,,
2004120402,"芝浦",,169,60,229,2,,,,93,,,,,,
2004120403,"芝浦",,156,55,211,2,,,,84,,,,,,
2004120404,"芝浦",,146,51,197,2,,,,91,,,,,,
2004120405,"芝浦",,103,41,144,2,,,,70,,,,,,
2004120406,"芝浦",,80,36,116,2,,,,58,,,,,,
2004120407,"芝浦",,103,37,140,2,,,,51,,,,,,
2004120408,"芝浦",,104,39,143,2,,,,51,,,,,,
2004120409,"芝浦",,84,41,125,2,,,,39,,,,,,
2004120410,"芝浦",,99,46,145,2,,,,49,,,,,,
2004120411,"芝浦",,150,58,208,2,,,,59,,,,,,
2004120412,"芝浦",,240,76,316,2,,,,83,,,,,,
2004120413,"芝浦",,121,72,193,2,,,,96,,,,,,
2004120414,"芝浦",,128,78,206,2,,,,86,,,,,,
2004120415,"芝浦",,114,77,191,2,,,,100,,,,,,
2004120416,"芝浦",,164,85,249,2,,,,121,,,,,,
2004120417,"芝浦",,220,91,311,2,,,,126,,,,,,
2004120418,"芝浦",,158,81,239,2,,,,126,,,,,,
2004120419,"芝浦",,175,81,256,2,,,,162,,,,,,
2004120420,"芝浦",,196,81,277,2,,,,168,,,,,,
2004120421,"芝浦",,183,74,257,2,,,,162,,,,,,
2004120422,"芝浦",,172,71,243,2,,,,176,,,,,,
2004120423,"芝浦",,157,71,228,2,,,,204,,,,,,
2004120424,"芝浦",,106,66,172,2,,,,214,,,,,,
2004120501,"芝浦",,98,60,158,2,,,,214,,,,,,
2004120502,"芝浦",,72,53,125,2,,,,141,,,,,,
2004120503,"芝浦",,65,49,114,2,,,,120,,,,,,
2004120504,"芝浦",,69,47,116,2,,,,109,,,,,,
2004120505,"芝浦",,20,24,44,8,,,,502,,,,,,
2004120506,"芝浦",,4,10,14,13,,,,285,,,,,,
2004120507,"芝浦",,2,4,6,19,,,,63,,,,,,
2004120508,"芝浦",,5,9,14,17,,,,1,,,,,,
2004120509,"芝浦",,22,24,46,5,,,,14,,,,,,
2004120510,"芝浦",,100,33,133,3,,,,33,,,,,,
2004120511,"芝浦",,44,28,72,9,,,,17,,,,,,
2004120512,"芝浦",,5,10,15,29,,,,13,,,,,,
2004120513,"芝浦",,3,9,12,35,,,,15,,,,,,
2004120514,"芝浦",,3,10,13,36,,,,13,,,,,,
2004120515,"芝浦",,3,11,14,37,,,,10,,,,,,
2004120516,"芝浦",,3,14,17,34,,,,14,,,,,,
2004120517,"芝浦",,5,21,26,27,,,,16,,,,,,
2004120518,"芝浦",,3,18,21,28,,,,13,,,,,,
2004120519,"芝浦",,2,11,13,32,,,,8,,,,,,
2004120520,"芝浦",,2,12,14,31,,,,11,,,,,,
2004120521,"芝浦",,2,12,14,29,,,,10,,,,,,
2004120522,"芝浦",,5,16,21,25,,,,16,,,,,,
2004120523,"芝浦",,4,15,19,26,,,,7,,,,,,
2004120524,"芝浦",,3,14,17,26,,,,15,,,,,,
2004120601,"芝浦",,9999,9999,9999,9995,,,,10,,,,,,
2004120602,"芝浦",,2,14,16,23,,,,8,,,,,,
2004120603,"芝浦",,2,10,12,26,,,,12,,,,,,
2004120604,"芝浦",,2,9,11,27,,,,8,,,,,,
2004120605,"芝浦",,4,14,18,22,,,,7,,,,,,
2004120606,"芝浦",,5,17,22,20,,,,10,,,,,,
2004120607,"芝浦",,6,18,24,19,,,,7,,,,,,
2004120608,"芝浦",,13,20,33,19,,,,8,,,,,,
2004120609,"芝浦",,17,20,37,21,,,,11,,,,,,
2004120610,"芝浦",,19,20,39,22,,,,10,,,,,,
2004120611,"芝浦",,16,17,33,26,,,,7,,,,,,
2004120612,"芝浦",,17,20,37,23,,,,11,,,,,,
2004120613,"芝浦",,15,18,33,25,,,,21,,,,,,
2004120614,"芝浦",,18,21,39,23,,,,13,,,,,,
2004120615,"芝浦",,25,24,49,18,,,,14,,,,,,
2004120616,"芝浦",,9998,9998,9998,9998,,,,9,,,,,,
2004120617,"芝浦",,36,33,69,8,,,,14,,,,,,
2004120618,"芝浦",,37,33,70,7,,,,19,,,,,,
2004120619,"芝浦",,32,35,67,5,,,,16,,,,,,
2004120620,"芝浦",,52,39,91,2,,,,23,,,,,,
2004120621,"芝浦",,40,37,77,2,,,,23,,,,,,
2004120622,"芝浦",,98,40,138,2,,,,32,,,,,,
2004120623,"芝浦",,84,40,124,2,,,,23,,,,,,
2004120624,"芝浦",,59,38,97,2,,,,20,,,,,,
2004120701,"芝浦",,103,40,143,2,,,,35,,,,,,
2004120702,"芝浦",,96,40,136,2,,,,19,,,,,,
2004120703,"芝浦",,86,35,121,2,,,,36,,,,,,
2004120704,"芝浦",,72,30,102,2,,,,24,,,,,,
2004120705,"芝浦",,62,28,90,2,,,,25,,,,,,
2004120706,"芝浦",,54,28,82,2,,,,28,,,,,,
2004120707,"芝浦",,59,28,87,2,,,,23,,,,,,
2004120708,"芝浦",,100,32,132,2,,,,28,,,,,,
