区分１,区分２,度数計,割合計,テレビや本・雑誌などの特集を見た、読んだ_度数,テレビや本・雑誌などの特集を見た、読んだ_割合,インターネットで調べた_度数,インターネットで調べた_割合,学校から配布される資料等を読んだ_度数,学校から配布される資料等を読んだ_割合,学校の保護者会等で行われた講演会で説明を受けた_度数,学校の保護者会等で行われた講演会で説明を受けた_割合,知識のある知人から説明を受けた_度数,知識のある知人から説明を受けた_割合,販売店等から詳しく説明を受けた_度数,販売店等から詳しく説明を受けた_割合,公共施設などで開催された講座に参加した_度数,公共施設などで開催された講座に参加した_割合,説明を受けたり学習したことはない_度数,説明を受けたり学習したことはない_割合,その他_度数,その他_割合
全体,全体,1500,100,471,31.4,482,32.1,537,35.8,330,22,74,4.9,113,7.5,37,2.5,340,22.7,9,0.6
児童・生徒別,小学生,500,100,163,32.6,165,33,179,35.8,86,17.2,28,5.6,34,6.8,17,3.4,106,21.2,4,0.8
児童・生徒別,中学生,500,100,159,31.8,172,34.4,202,40.4,124,24.8,24,4.8,45,9,11,2.2,99,19.8,2,0.4
児童・生徒別,高校生,500,100,149,29.8,145,29,156,31.2,120,24,22,4.4,34,6.8,9,1.8,135,27,3,0.6
子供の性別,男子,763,100,234,30.7,254,33.3,253,33.2,162,21.2,40,5.2,50,6.6,26,3.4,166,21.8,6,0.8
子供の性別,女子,737,100,237,32.2,228,30.9,284,38.5,168,22.8,34,4.6,63,8.5,11,1.5,174,23.6,3,0.4
児童・生徒×子供の性別,小学生男子,236,100,79,33.5,83,35.2,78,33.1,38,16.1,11,4.7,14,5.9,10,4.2,42,17.8,2,0.8
児童・生徒×子供の性別,小学生女子,264,100,84,31.8,82,31.1,101,38.3,48,18.2,17,6.4,20,7.6,7,2.7,64,24.2,2,0.8
児童・生徒×子供の性別,中学生男子,262,100,81,30.9,92,35.1,91,34.7,60,22.9,18,6.9,24,9.2,11,4.2,51,19.5,2,0.8
児童・生徒×子供の性別,中学生女子,238,100,78,32.8,80,33.6,111,46.6,64,26.9,6,2.5,21,8.8,0,0,48,20.2,0,0
児童・生徒×子供の性別,高校生男子,265,100,74,27.9,79,29.8,84,31.7,64,24.2,11,4.2,12,4.5,5,1.9,73,27.5,2,0.8
児童・生徒×子供の性別,高校生女子,235,100,75,31.9,66,28.1,72,30.6,56,23.8,11,4.7,22,9.4,4,1.7,62,26.4,1,0.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,310,32.5,297,31.2,358,37.6,223,23.4,47,4.9,73,7.7,26,2.7,200,21,4,0.4
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,29,34.5,21,25,37,44,20,23.8,9,10.7,3,3.6,3,3.6,14,16.7,2,2.4
携帯電話の購入所別,家電量販店,282,100,88,31.2,92,32.6,92,32.6,60,21.3,12,4.3,34,12.1,6,2.1,68,24.1,1,0.4
携帯電話の購入所別,インターネット販売,109,100,27,24.8,45,41.3,39,35.8,20,18.3,4,3.7,2,1.8,1,0.9,26,23.9,1,0.9
携帯電話の購入所別,その他,43,100,12,27.9,22,51.2,9,20.9,5,11.6,1,2.3,0,0,0,0,14,32.6,0,0
携帯電話の購入所別,わからない,29,100,5,17.2,5,17.2,2,6.9,2,6.9,1,3.4,1,3.4,1,3.4,18,62.1,1,3.4
フィルタリングサービスの加入状況別,加入している,539,100,209,38.8,210,39,237,44,147,27.3,30,5.6,71,13.2,14,2.6,65,12.1,1,0.2
フィルタリングサービスの加入状況別,加入している,523,100,143,27.3,179,34.2,164,31.4,105,20.1,27,5.2,25,4.8,9,1.7,145,27.7,2,0.4
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,62,33.5,53,28.6,76,41.1,42,22.7,7,3.8,4,2.2,5,2.7,30,16.2,4,2.2
フィルタリングサービスの加入状況別,わからない,253,100,57,22.5,40,15.8,60,23.7,36,14.2,10,4,13,5.1,9,3.6,100,39.5,2,0.8
利用制限サービスの加入状況別,加入している,366,100,121,33.1,142,38.8,172,47,91,24.9,21,5.7,46,12.6,9,2.5,54,14.8,1,0.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,68,40.7,77,46.1,66,39.5,54,32.3,13,7.8,14,8.4,4,2.4,11,6.6,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,100,28.5,106,30.2,112,31.9,80,22.8,16,4.6,18,5.1,8,2.3,99,28.2,2,0.6
利用制限サービスの加入状況別,わからない,87,100,22,25.3,17,19.5,28,32.2,21,24.1,3,3.4,2,2.3,1,1.1,31,35.6,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,200,36.4,186,33.8,216,39.3,111,20.2,25,4.5,44,8,14,2.5,100,18.2,5,0.9
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,207,32.4,245,38.3,252,39.4,171,26.8,35,5.5,52,8.1,10,1.6,114,17.8,2,0.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,49,23.6,36,17.3,55,26.4,36,17.3,10,4.8,11,5.3,7,3.4,78,37.5,1,0.5
利用状況の管理状態別,子供の利用状況に関心がない,98,100,13,13.3,13,13.3,10,10.2,9,9.2,4,4.1,6,6.1,6,6.1,48,49,1,1
利用状況の管理状態別,その他,5,100,2,40,2,40,4,80,3,60,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,471,100,201,42.7,204,43.3,128,27.2,27,5.7,40,8.5,16,3.4,0,0,1,0.2
説明・学習経験別,インターネットで調べた,482,100,201,41.7,482,100,161,33.4,84,17.4,40,8.3,54,11.2,14,2.9,0,0,1,0.2
説明・学習経験別,学校から配布される資料等を読んだ,537,100,204,38,161,30,537,100,230,42.8,28,5.2,42,7.8,16,3,0,0,2,0.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,128,38.8,84,25.5,230,69.7,330,100,24,7.3,31,9.4,14,4.2,0,0,2,0.6
説明・学習経験別,知識のある知人から説明を受けた,74,100,27,36.5,40,54.1,28,37.8,24,32.4,74,100,24,32.4,10,13.5,0,0,0,0
