内容,基数,電話をする,メールをする,SNS等のコミュニケーションアプリ,動画を見る,カメラ撮影,ゲームをする,音楽を聴く,インターネット,仕事で使う,その他
平成29年度,1487,13.2,22.7,22.9,2.4,0.3,6.1,1.3,28.8,1.4,0.7
平成28年度,1500,16.1,27.9,21.1,1.1,0.5,5.3,1.7,25.3,0,0.9
平成27年度,1500,31.7,0,23.4,0.9,0.9,5.6,1.4,31.3,0,4.9
