内容,平成29年度(n=1500),平成28年度(n=1500),平成27年度(n=1500)
学校の授業等で、ネットの危険性について取り扱う,30.8,31.3,33.1
家庭のルール作りを推進する講座の開催,20.2,20.5,19.4
インターネットの危険性について啓発する講演会・イベントの開催,20.1,23.9,23.7
ネットに潜む危険性に関する、より一層の広報,15.8,16.5,19.2
学校・地域（家庭外）のルール作りを推進する講座の開催,15.5,18.4,15.8
ネットトラブルの相談の充実化,12.8,15.1,14.5
子供の有害にならないよう、事業者を規制すべき,11.5,12.1,13.3
小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする,6.4,7.7,7.3
各家庭で小学生に携帯電話・スマートフォンを持たせないようにする,3.1,2.3,2.3
各家庭で中学生にスマートフォンを持たせないようにする,2.7,3.8,2.7
特に必要ない,16.4,11.4,12.2
その他,0.8,1,0.9
