内容,基数,価格,機能が多くハイスペック（高機能）なもの,操作や機能が比較的簡単で遣いやすいもの,子供が欲しがるもの,その他
全体,1500,42.9,10.1,31.7,13.5,1.9
小学生,500,39.6,8.8,43.2,6.8,1.6
中学生,500,45.8,9.6,28.8,14.2,1.6
高校生,500,43.2,11.8,23.2,19.4,2.4
男子,763,44.4,11.4,29.6,12.3,2.2
女子,737,41.2,8.7,33.9,14.7,1.5
