内容,基数,提出した,提出していない,わからない
全体,523,7.5,69.2,23.3
小学生,129,5.4,72.9,21.7
中学生,167,7.2,70.1,22.8
高校生,227,8.8,66.5,24.7
男子,265,8.3,69.8,21.9
女子,258,6.6,68.6,24.8
