内容,基数,未就学児,小学1～2年生,小学3～4年生,小学5～6年生,中学1年生,中学2年生,中学3年生,高校1年生,高校2年生,高校3年生
平成29年度,412,2.7,39.1,29.9,16.5,6.3,1.5,1.5,2.2,0,0.5
平成28年度,510,3.1,38,36.3,14.3,5.7,0.4,1.2,0.6,0,0.4
平成27年度,654,1.4,29.4,35.6,19.1,10.1,0.9,1.7,1.4,0,0.5
