内容,(%)
インターネットの使い方について、子供を信用しているから,45.9
子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから,15.3
キッズ携帯等で、インターネットを利用させていないから,8.8
フィルタリングサービスの利用方法がわからない,7.5
フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから,5.2
フィルタリングサービスの必要性がわからない,4.6
無料サービスのものがあることを知らず、お金がかかると思った,4.6
購入時に説明を受けなかったから,2.7
子供にフィルタリング設定をしないようせがまれて、仕方なく,1.7
フィルタリングサービス自体を知らない,1.7
その他,2.1
