内容,(%)
利用時間（夜10まで等）を決めている,64.5
利用する際のマナー（誹謗中傷することは書かない等）,46.3
友達の画像をサイト等にアップする時は、本人の許可をもらう,27.3
相手が誤解しそうな紛らわしい言葉は使わない,24
既読スルーされても気にしない（相手の都合を考える）,21.5
その他,2.9
