内容,平成29年度(n=1104),平成28年度(n=990),平成27年度(n=856)
スマートフォンに依存してしまう,55.3442029,62.3,59.8
SNSを利用し、友達とトラブルになる,34.60144928,41.3,41.6
有害なサイトを閲覧するかもしれない,33.69565217,38.1,40
出会い系アプリ等で知らない人と知り合いになれてしまう,32.42753623,36.5,38.9
高額の料金を請求されてしまう,25.27173913,28.4,30.1
自分の写真をアップしてトラブルに巻き込まれる,19.83695652,25.5,25
不安なことはない,17.57246377,13.3,11
その他,0.543478261,0.9,0.2
