性別,小学生１年生,小学生２年生,小学生３年生,小学生４年生,小学生５年生,小学生６年生,中学生１年生,中学生２年生,中学生３年生,高校生１年生,高校生２年生,高校生３年生,合計
男子（人）,84,83,83,84,83,83,84,83,83,84,83,83,1000
男子（％）,8.4,8.3,8.3,8.4,8.3,8.3,8.4,8.3,8.3,8.4,8.3,8.3,100
女子（人）,83,84,83,83,84,83,83,84,83,83,84,83,1000
女子（％）,8.3,8.4,8.3,8.3,8.4,8.3,8.4,8.4,8.3,8.3,8.4,8.3,100
合計（人）,167,167,166,167,167,166,167,167,166,167,167,166,2000
合計（％）,8.4,8.4,8.3,8.4,8.4,8.3,8.4,8.4,8.3,8.4,8.4,8.3,100
