内容,基数,価格,機能が多くハイスペック（高機能）なもの,操作や機能が比較的簡単で遣いやすいもの,子供が欲しがるもの,その他
平成29年度,1500,42.9,10.1,31.7,13.5,1.9
平成28年度,1500,46.8,9.7,28.1,13.2,2.2
