内容,基数,電話をする,メールをする,SNS等のコミュニケーションアプリ,動画を見る,カメラ撮影,ゲームをする,音楽を聴く,インターネット,学習・調べもの,その他,わからない
全体,1500,18.5,13.9,27.4,13.9,0.5,13.3,2.8,3.9,1.5,0.5,3.8
小学生,500,42.8,21,12.6,9,0.8,7.6,0.4,2.6,1.4,0.6,1.2
中学生,500,9.8,11.4,32,16.4,0.6,17.6,3.4,4.2,1.2,0.6,2.8
高校生,500,3,9.2,37.6,16.4,0,14.8,4.6,4.8,1.8,0.4,7.4
男子,763,18.5,12.8,21.4,15.1,0.5,19.4,2.1,4.1,1.4,0.7,4.1
女子,737,18.6,14.9,33.6,12.8,0.4,7.1,3.5,3.7,1.5,0.4,3.5
