学年,度数,割合
全体,2000,100
小学校１年生,167,8.4
小学校２年生,167,8.4
小学校３年生,166,8.3
小学校４年生,167,8.4
小学校５年生,167,8.4
小学校６年生,166,8.3
中学校１年生,167,8.4
中学校２年生,167,8.4
中学校３年生,166,8.3
高校１年生,167,8.4
高校２年生,167,8.4
高校３年生,166,8.3
