内容,基数,設定をした,設定をしていない,わからない
全体,539,85.9,7.2,6.9
小学生,158,89.2,7.6,3.2
中学生,228,89.5,3.1,7.5
高校生,153,77.1,13.1,9.8
男子,286,88.5,5.6,5.9
女子,253,83,9.1,7.9
小学生男性,82,92.7,6.1,1.2
小学生女子,76,85.5,9.2,5.3
中学生男子,125,90.4,2.4,7.2
中学生女子,103,88.3,3.9,7.8
高校生男子,79,81,10.1,8.9
高校生女子,74,73,16.2,10.8
