内容,(%)
子供といつでも連絡が取れるようにするため,85.7
子供の所在地がわかるようにするため,51.5
持たせたほうが、メディアリテラシーや情報処理能力がつくと思ったため,2.9
子供にせがまれたため仕方なく持たせた,2.4
子供の疾病とうがあり、大切なコミュニケーション手段として活用するため,1.9
お祝い等で、親戚等からもらったため,1.7
子供の要望ではないが友達が持っており、仲間外れにされないか心配なため,1.5
その他,2.4
