内容,基数,利用状況の把握及び監督もできている,利用状況は把握しているが、監督まではできていない,利用状況を把握しておらず、監督もできていない,子供の利用状況に関心がない,その他
全体,1500,36.7,42.6,13.9,6.5,0.3
小学生,500,58.2,30.2,6,5.4,0.2
中学生,500,31.6,48.6,15.2,4.2,0.4
高校生,500,20.2,49,20.4,10,0.4
男子,763,33,43.9,15.3,7.2,0.5
女子,737,40.4,41.2,12.3,5.8,0.1
