内容,基数,電話をする,メールをする,SNS等のコミュニケーションアプリ,動画を見る,カメラ撮影,ゲームをする,音楽を聴く,インターネット,仕事で使う,その他
全体,1487,13.2,22.7,22.9,2.4,0.3,6.1,1.3,28.8,1.4,0.7
小学生,495,13.9,17.6,23.4,2,0.2,6.9,1.2,32.3,1.8,0.6
中学生,497,13.1,23.5,22.7,2.4,0.6,6,2,27.8,1,0.8
高校生,495,12.7,27.1,22.6,2.8,0.2,5.3,0.8,26.3,1.4,0.8
男子,756,14.3,24.3,22.4,3,0.1,5.8,1.1,25.8,2,1.2
女子,731,12.2,21.1,23.5,1.8,0.5,6.3,1.6,31.9,0.8,0.3
