内容,(%)
学校から配布される資料等を読んだ,35.8
インターネットで調べた,32.1
テレビや本・雑誌などの特集を見た、読んだ,31.4
学校の保護者会等で行われた講演会で説明を受けた,22
販売店等から詳しく説明を受けた,7.5
知識のある知人から説明を受けた,4.9
公共施設などで開催された講座に参加した,2.5
説明を受けたり学習したことはない,22.7
その他,0.6
