区分１,区分２,度数計,割合計,メール機能_度数,メール機能_割合,子供の所在地を検索できる機能_度数,子供の所在地を検索できる機能_割合,緊急時に位置情報を知らせてくることができる機能_度数,緊急時に位置情報を知らせてくることができる機能_割合,迷惑メール防止機能_度数,迷惑メール防止機能_割合,料金上限設定機能_度数,料金上限設定機能_割合,非常ブザー等防犯機能_度数,非常ブザー等防犯機能_割合,利用時間制限機能_度数,利用時間制限機能_割合,通話相手の制限設定機能_度数,通話相手の制限設定機能_割合,メール相手の制限設定機能_度数,メール相手の制限設定機能_割合,ＳＮＳ監視機能_度数,ＳＮＳ監視機能_割合,インターネット機能_度数,インターネット機能_割合,その他_度数,その他_割合
全体,全体,1500,100,563,37.5,799,53.3,812,54.1,703,46.9,631,42.1,423,28.2,476,31.7,319,21.3,325,21.7,455,30.3,262,17.5,14,0.9
児童・生徒別,小学生,500,100,207,41.4,333,66.6,297,59.4,241,48.2,219,43.8,181,36.2,186,37.2,153,30.6,157,31.4,184,36.8,102,20.4,1,0.2
児童・生徒別,中学生,500,100,197,39.4,262,52.4,269,53.8,238,47.6,212,42.4,138,27.6,170,34,99,19.8,102,20.4,161,32.2,79,15.8,2,0.4
児童・生徒別,高校生,500,100,159,31.8,204,40.8,246,49.2,224,44.8,200,40,104,20.8,120,24,67,13.4,66,13.2,110,22,81,16.2,11,2.2
子供の性別,男子,763,100,256,33.6,385,50.5,403,52.8,333,43.6,319,41.8,172,22.5,237,31.1,137,18,138,18.1,206,27,124,16.3,6,0.8
子供の性別,女子,737,100,307,41.7,414,56.2,409,55.5,370,50.2,312,42.3,251,34.1,239,32.4,182,24.7,187,25.4,249,33.8,138,18.7,8,1.1
児童・生徒×子供の性別,小学生男子,236,100,76,32.2,151,64,139,58.9,95,40.3,101,42.8,74,31.4,86,36.4,64,27.1,61,25.8,80,33.9,36,15.3,0,0
児童・生徒×子供の性別,小学生女子,264,100,131,49.6,182,68.9,158,59.8,146,55.3,118,44.7,107,40.5,100,37.9,89,33.7,96,36.4,104,39.4,66,25,1,0.4
児童・生徒×子供の性別,中学生男子,262,100,104,39.7,128,48.9,132,50.4,120,45.8,113,43.1,58,22.1,90,34.4,47,17.9,50,19.1,75,28.6,41,15.6,2,0.8
児童・生徒×子供の性別,中学生女子,238,100,93,39.1,134,56.3,137,57.6,118,49.6,99,41.6,80,33.6,80,33.6,52,21.8,52,21.8,86,36.1,38,16,0,0
児童・生徒×子供の性別,高校生男子,265,100,76,28.7,106,40,132,49.8,118,44.5,105,39.6,40,15.1,61,23,26,9.8,27,10.2,51,19.2,47,17.7,4,1.5
児童・生徒×子供の性別,高校生女子,235,100,83,35.3,98,41.7,114,48.5,106,45.1,95,40.4,64,27.2,59,25.1,41,17.4,39,16.6,59,25.1,34,14.5,7,3
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,373,39.1,524,55,538,56.5,477,50.1,420,44.1,298,31.3,303,31.8,225,23.6,231,24.2,306,32.1,170,17.8,10,1
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,25,29.8,45,53.6,50,59.5,37,44,33,39.3,21,25,23,27.4,14,16.7,14,16.7,20,23.8,12,14.3,0,0
携帯電話の購入所別,家電量販店,282,100,100,35.5,139,49.3,138,48.9,124,44,120,42.6,58,20.6,95,33.7,46,16.3,41,14.5,76,27,48,17,4,1.4
携帯電話の購入所別,インターネット販売,109,100,39,35.8,60,55,59,54.1,44,40.4,36,33,26,23.9,39,35.8,21,19.3,24,22,33,30.3,21,19.3,0,0
携帯電話の購入所別,その他,43,100,14,32.6,20,46.5,21,48.8,12,27.9,15,34.9,12,27.9,12,27.9,8,18.6,10,23.3,14,32.6,5,11.6,0,0
携帯電話の購入所別,わからない,29,100,12,41.4,11,37.9,6,20.7,9,31,7,24.1,8,27.6,4,13.8,5,17.2,5,17.2,6,20.7,6,20.7,0,0
フィルタリングサービスの加入状況別,加入している,539,100,223,41.4,314,58.3,323,59.9,296,54.9,247,45.8,178,33,195,36.2,134,24.9,138,25.6,179,33.2,87,16.1,2,0.4
フィルタリングサービスの加入状況別,加入している,523,100,174,33.3,259,49.5,272,52,210,40.2,195,37.3,112,21.4,138,26.4,81,15.5,84,16.1,128,24.5,89,17,7,1.3
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,86,46.5,120,64.9,117,63.2,102,55.1,93,50.3,72,38.9,76,41.1,64,34.6,66,35.7,71,38.4,32,17.3,1,0.5
フィルタリングサービスの加入状況別,わからない,253,100,80,31.6,106,41.9,100,39.5,95,37.5,96,37.9,61,24.1,67,26.5,40,15.8,37,14.6,77,30.4,54,21.3,4,1.6
利用制限サービスの加入状況別,加入している,366,100,141,38.5,210,57.4,220,60.1,204,55.7,176,48.1,116,31.7,139,38,90,24.6,97,26.5,141,38.5,70,19.1,2,0.5
