内容,インターネットの危険性について啓発する講演会・イベントの開催
全体,20.1
小学生,20.8
中学生,18.4
高校生,21.2
男子,20.6
女子,19.7
加入している,23.7
加入していない,20.5
インターネットが使えない機種・設定になっている,18.9
わからない,12.6
加入している,22.4
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,35.3
加入していないし、特段の制限も設けていない,18.5
わからない,11.5
