内容,基数,守られている,だいたい守られている,あまり守られていない,守られていない,守られているかどうかわからない
平成29年度,242,38.8,47.9,10.7,0.8,1.7
平成28年度,180,42.2,46.1,4.4,1.1,6.1
平成27年度,123,50.4,37.4,5.7,0.8,5.7
