内容,基数,30分未満,30分以上1時間未満,1時間以上2時間未満,2時間以上3時間未満,3時間以上4時間未満,4時間以上5時間未満,5時間以上
全体,1487,20.3,24.1,30.7,15.5,4.6,2,2.8
小学生,495,18.8,25.1,31.7,15.6,3.6,1.6,3.6
中学生,497,19.9,21.5,31,16.1,6.2,2.4,2.8
高校生,495,22.2,25.9,29.3,14.7,4,2,1.8
男子,756,20.8,24.3,31,13.8,4.5,2.5,3.2
女子,731,19.8,23.9,30.4,17.2,4.8,1.5,2.3
