内容,(%)
スマートフォンに依存してしまう,55.3
SNSを利用し、友達とトラブルになる,34.6
有害なサイトを閲覧するかもしれない,33.7
出会い系アプリ等で知らない人と知り合いになれてしまう,32.4
高額の料金を請求されてしまう,25.3
自分の写真をアップしてトラブルに巻き込まれる,19.8
不安なことはない,17.6
その他,0.5
