内容,基数,30分未満,30分以上1時間未満,1時間以上2時間未満,2時間以上3時間未満,3時間以上4時間未満,4時間以上5時間未満,5時間以上
全体,1487,20.3,24.1,30.7,15.5,4.6,2,2.8
30分未満,432,32.9,27.1,23.8,9.5,3.2,1.2,2.3
30分以上1時間未満,192,14.1,40.1,30.7,12,1,1,1
1時間以上2時間未満,297,13.1,25.3,43.8,14.1,2,0.3,1.3
2時間以上3時間未満,209,10.5,14.4,36.8,27.3,7.2,1.9,1.9
3時間以上4時間未満,90,11.1,8.9,30,32.2,11.1,2.2,4.4
4時間以上5時間未満,33,6.1,15.2,27.3,21.2,15.2,15.2,0
5時間以上,54,24.1,11.1,16.7,14.8,13,3.7,16.7
わからない,180,26.1,22.8,23.3,12.8,5.6,5,4.4
