区分１,区分２,度数計,割合計,睡眠不足になった_度数,睡眠不足になった_割合,視力が落ちた_度数,視力が落ちた_割合,猫背になったり、巻き肩になるなど、姿勢が悪くなった_度数,猫背になったり、巻き肩になるなど、姿勢が悪くなった_割合,肩こりや頭痛、めまい等の不調を訴えるようになった_度数,肩こりや頭痛、めまい等の不調を訴えるようになった_割合,勉強に集中できなくなったり、記憶力が下がったりした_度数,勉強に集中できなくなったり、記憶力が下がったりした_割合,成績が下がった_度数,成績が下がった_割合,家族や友達と過ごす時間が減った（手伝いをしない、外で遊ばない等）_度数,家族や友達と過ごす時間が減った（手伝いをしない、外で遊ばない等）_割合,その他_度数,その他_割合,悪影響は特にない_度数,悪影響は特にない_割合
全体,全体,1500,100,298,19.9,281,18.7,184,12.3,61,4.1,230,15.3,161,10.7,191,12.7,14,0.9,732,48.8
児童・生徒別,小学生,500,100,51,10.2,59,11.8,41,8.2,13,2.6,30,6,12,2.4,38,7.6,3,0.6,345,69
児童・生徒別,中学生,500,100,118,23.6,105,21,76,15.2,26,5.2,103,20.6,71,14.2,82,16.4,5,1,192,38.4
児童・生徒別,高校生,500,100,129,25.8,117,23.4,67,13.4,22,4.4,97,19.4,78,15.6,71,14.2,6,1.2,195,39
子供の性別,男子,763,100,163,21.4,139,18.2,86,11.3,27,3.5,129,16.9,92,12.1,100,13.1,9,1.2,350,45.9
子供の性別,女子,737,100,135,18.3,142,19.3,98,13.3,34,4.6,101,13.7,69,9.4,91,12.3,5,0.7,382,51.8
児童・生徒×子供の性別,小学生男子,236,100,30,12.7,31,13.1,15,6.4,7,3,12,5.1,5,2.1,19,8.1,2,0.8,156,66.1
児童・生徒×子供の性別,小学生女子,264,100,21,8,28,10.6,26,9.8,6,2.3,18,6.8,7,2.7,19,7.2,1,0.4,189,71.6
児童・生徒×子供の性別,中学生男子,262,100,66,25.2,49,18.7,37,14.1,14,5.3,62,23.7,45,17.2,49,18.7,3,1.1,98,37.4
児童・生徒×子供の性別,中学生女子,238,100,52,21.8,56,23.5,39,16.4,12,5,41,17.2,26,10.9,33,13.9,2,0.8,94,39.5
児童・生徒×子供の性別,高校生男子,265,100,67,25.3,59,22.3,34,12.8,6,2.3,55,20.8,42,15.8,32,12.1,4,1.5,96,36.2
児童・生徒×子供の性別,高校生女子,235,100,62,26.4,58,24.7,33,14,16,6.8,42,17.9,36,15.3,39,16.6,2,0.9,99,42.1
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,181,19,174,18.3,126,13.2,39,4.1,145,15.2,101,10.6,119,12.5,9,0.9,484,50.8
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,24,28.6,21,25,12,14.3,5,6,8,9.5,5,6,14,16.7,0,0,36,42.9
携帯電話の購入所別,家電量販店,282,100,57,20.2,60,21.3,31,11,10,3.5,52,18.4,39,13.8,35,12.4,2,0.7,123,43.6
携帯電話の購入所別,インターネット販売,109,100,20,18.3,16,14.7,10,9.2,3,2.8,18,16.5,12,11,17,15.6,2,1.8,48,44
携帯電話の購入所別,その他,43,100,9,20.9,9,20.9,3,7,4,9.3,5,11.6,4,9.3,6,14,0,0,21,48.8
携帯電話の購入所別,わからない,29,100,7,24.1,1,3.4,2,6.9,0,0,2,6.9,0,0,0,0,1,3.4,20,69
フィルタリングサービスの加入状況別,加入している,539,100,119,22.1,101,18.7,75,13.9,28,5.2,92,17.1,63,11.7,96,17.8,4,0.7,229,42.5
フィルタリングサービスの加入状況別,加入している,523,100,119,22.8,122,23.3,74,14.1,22,4.2,93,17.8,71,13.6,62,11.9,3,0.6,225,43
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,12,6.5,10,5.4,5,2.7,4,2.2,13,7,5,2.7,3,1.6,1,0.5,149,80.5
フィルタリングサービスの加入状況別,わからない,253,100,48,19,48,19,30,11.9,7,2.8,32,12.6,22,8.7,30,11.9,6,2.4,129,51
利用制限サービスの加入状況別,加入している,366,100,90,24.6,78,21.3,46,12.6,19,5.2,69,18.9,50,13.7,70,19.1,5,1.4,134,36.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,44,26.3,49,29.3,37,22.2,11,6.6,38,22.8,20,12,33,19.8,2,1.2,46,27.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,96,27.4,82,23.4,53,15.1,14,4,72,20.5,61,17.4,56,16,3,0.9,127,36.2
利用制限サービスの加入状況別,わからない,87,100,23,26.4,19,21.8,16,18.4,4,4.6,17,19.5,12,13.8,12,13.8,0,0,32,36.8
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,65,11.8,62,11.3,49,8.9,16,2.9,44,8,31,5.6,41,7.5,5,0.9,370,67.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,157,24.6,150,23.5,100,15.6,33,5.2,130,20.3,79,12.4,106,16.6,6,0.9,226,35.4
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,66,31.7,55,26.4,25,12,9,4.3,48,23.1,45,21.6,35,16.8,2,1,65,31.3
利用状況の管理状態別,子供の利用状況に関心がない,98,100,10,10.2,14,14.3,10,10.2,3,3.1,8,8.2,6,6.1,9,9.2,1,1,66,67.3
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,103,21.9,98,20.8,68,14.4,21,4.5,85,18,54,11.5,68,14.4,4,0.8,227,48.2
説明・学習経験別,インターネットで調べた,482,100,110,22.8,111,23,60,12.4,28,5.8,96,19.9,64,13.3,73,15.1,5,1,201,41.7
説明・学習経験別,学校から配布される資料等を読んだ,537,100,119,22.2,107,19.9,98,18.2,29,5.4,96,17.9,60,11.2,101,18.8,7,1.3,234,43.6
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,73,22.1,75,22.7,80,24.2,23,7,73,22.1,44,13.3,61,18.5,3,0.9,126,38.2
説明・学習経験別,知識のある知人から説明を受けた,74,100,18,24.3,13,17.6,8,10.8,8,10.8,20,27,13,17.6,15,20.3,3,4.1,33,44.6
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,25,22.1,18,15.9,16,14.2,7,6.2,27,23.9,20,17.7,26,23,3,2.7,52,46
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,12,32.4,10,27,9,24.3,6,16.2,13,35.1,9,24.3,11,29.7,3,8.1,15,40.5
