内容,基数,内容の説明があり説明書の交付もあった,内容の説明があったが説明書の交付はされなかった,説明書は交付されたが内容の説明はなかった,内容の説明も説明書の交付もなかった,わからない
全体,1500,34.1,15.6,5.1,17.1,28
各携帯電話会社の販売店,953,38.5,17.1,4.2,12.7,27.5
全携帯電話等会社の機種を扱う販売代理店,84,42.9,10.7,7.1,17.9,21.4
家電量販店,282,29.4,17.4,7.1,19.1,27
インターネット販売,109,15.6,8.3,7.3,45,23.9
その他,43,7,9.3,4.7,37.2,41.9
わからない,29,20.7,0,3.4,6.9,69
加入している,539,57.9,19.9,4.5,6.3,11.5
加入していない,523,25,17.2,6.7,28.1,22.9
インターネットが使えない環境・設定になっている,185,26.5,11.9,5.9,28.1,27.6
わからない,253,7.9,5.9,2.8,9.5,73.9
加入している,366,52.5,20.2,4.6,9,13.7
加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,38.3,28.1,4.2,11.4,18
加入していないし、特段の制限も設けていない,351,25.9,12.8,5.7,28.2,27.4
わからない,87,21.8,9.2,3.4,4.6,60.9
