内容,平成29年度(n=523),平成28年度(n=563),平成27年度(n=526)
インターネットの使い方について、子供を信用しているから,45.9,49.7,52.9
子供がインターネット上の有害情報を見ないよう、保護者として適切に管理できるから,15.3,17.9,19.2
キッズ携帯等で、インターネットを利用させていないから,8.8,11.5,
フィルタリングサービスの利用方法がわからない,7.5,8.3,8.2
フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから,5.2,11.7,10.1
フィルタリングサービスの必要性がわからない,4.6,5.2,4.9
無料サービスのものがあることを知らず、お金がかかると思った,4.6,5.9,5.3
購入時に説明を受けなかったから,2.7,6.6,7.4
子供にフィルタリング設定をしないようせがまれて、仕方なく,1.7,1.8,1.5
フィルタリングサービス自体を知らない,1.7,3.4,3.6
その他,2.1,5.2,8
